"TSectors","Intensity"
"(National) Major Party",0
"Army",0
"Business",14.4
"Criminals",0
"Dissident",212.2
"Education",0
"Executive",15.4
"Fundamentalist",0
"General Population",384
"Government",406.5
"Ideological",0
"Insurgents",126.4
"Intelligence Ministry",63.4
"International Religious",0
"Judicial",13.4
"Labor",23.4
"Legal",0
"Legislative",0
"Local",69
"Media",13.4
"Medical",0
"Military",501.1
"Municipal",0
"National Religious",124.4
"Nongovernmental Organizations",0
"Parties",7.8
"Police",603.2
"Protestors",378.4
"Provincial",0
"Radicals",0
"Rebel",14.4
"Social",727.1
"Sunni",188.4
"Unidentified Forces",93.6
