"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Berber-Kabyle",0
"Business",0
"Criminals",0
"Dissident",33.4
"Education",0
"Elite",0
"Ethnic NGOs",0
"Fundamentalist",0
"General Population",0
"Government",0
"Housing",0
"Human Rights IGOs",0
"Insurgents",0
"International Religious",0
"Judicial",0
"Labor",8
"Legal",0
"Legislative",0
"Local",0
"Media",25
"Medical",0
"Military",74
"Muslim",0
"National Religious",8
"Nongovernmental Organization (International)",0
"Police",17
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",22
"Separatists",0
"Social",73
"Unidentified Forces",28
