"TSectors","Intensity"
"Agricultural",0
"Air Force",0
"Army",0
"Army Headquarters",0
"Business",19.6
"Catholic",0
"Communist",0
"Criminals",88.8
"Dissident",31
"Education",11
"Elite",5.6
"Ethnic NGOs",0
"General Population",206.9
"Government",59.7
"Government Major Party (In Government)",0
"Human Rights NGOs",11
"Intelligence Ministry",0
"Justice",0
"Legal",11
"Media",13
"Medical",32.5
"Military",11
"National",0
"National Religious",8
"Navy",0
"Nongovernmental Organization (International)",0
"Organized Violent",0
"Police",33.1
"Protestors",0
"Radicals",0
"Rebel",13.4
"Social",230.1
"South American Indigenous",0
"Unidentified Forces",0
