"TSectors","Intensity"
"Agriculture",33.5
"Business",0
"Catholic",0
"Criminals",0
"Dissident",103.5
"Education",0
"Exiles",0
"Food Ministry",0
"General Population",0
"Government",15.5
"Heavy Industrial",0
"Human Rights IGOs",0
"Human Rights Ministry",0
"Human Rights NGOs",0
"Industrial",0
"Intelligence Ministry",0
"Jewish",0
"Labor",41.3
"Labor Ministry",35.5
"Media",0
"Medical",31.5
"Military",60.9
"Military Intelligence",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",12.5
"Nongovernmental Organizations",28.5
"Police",142.9
"Protestors",56.5
"Provincial Party",55.3
"Radicals",0
"Rebel",0
"Refugees",0
"Social",931.1
"Unidentified Forces",42.5
