"TSectors","Intensity"
"(National) Major Party",163.5
"Agricultural",197.9
"Buddhist",0
"Business",207.9
"Criminals",254.9
"Dissident",0
"Education",192.9
"Elite",167.5
"Exiles",0
"General Population",392.3
"Government",197.1
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",206.9
"Insurgents",0
"International Religious",203.9
"Judicial",0
"Labor",229.9
"Legislative",191.9
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Muslim",0
"National Religious",194.9
"Nongovernmental Organization (International)",194.9
"Nongovernmental Organizations",0
"Opposition Major Party (Out Of Government)",0
"Parties",166.5
"Police",0
"Protestors",188.7
"Radicals",202.9
"Rebel",202.9
"Social",294.7
"Unidentified Forces",192.9
