"TSectors","Intensity"
"(National) Major Party",0
"(National) Minor Party",18.4
"Army",0
"Business",0
"Criminals",0
"Dissident",7.4
"Education",0
"Education Ministry",0
"Executive",0
"Exiles",3.4
"General Population",76.3
"Government",58.4
"Insurgents",0
"Interior",0
"Labor",0
"Legal",0
"Local",8.4
"Media",0
"Medical",0
"Military",367
"Muslim",0
"National Ethnic",7.4
"National Ethnic Minority",0
"National Religious",0
"Parties",21.4
"Police",12.4
"Rebel",416
"Social",81.6
"Sunni",13.4
"Unidentified Forces",11
