"TSectors","Intensity"
"Agricultural",233.6
"Buddhist",0
"Business",212.1
"Criminals",0
"Dissident",256.1
"Education",154.6
"Exiles",0
"Finance",0
"General Population",424.4
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",189.6
"International Religious",0
"Local",0
"Media",184.8
"Medical",178.8
"Municipal",0
"Muslim",0
"National Ethnic",0
"National Religious",0
"Nongovernmental Organization (International)",187.6
"Nongovernmental Organizations",191.6
"Police",223.1
"Protestors",208.6
"Provincial",185.6
"Radicals",189.6
"Rebel",0
"Separatists",0
"Social",183.9
"State Media",0
"Unidentified Forces",189.6
"Uyghur",0
