"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Criminals",0
"Defense",59.9
"Dissident",94.9
"Education",0
"Far Left",0
"Far Right",0
"General Population",314.1
"Government",16.9
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",54
"International Ethnic",0
"Labor",0
"Legislative",72
"Local",62.9
"Marines",0
"Media",0
"Medical",0
"Military",582.3
"Municipal",0
"National Ethnic Minority",63.9
"National Religious",0
"Nongovernmental Organizations",0
"Parties",81.9
"Police",233.9
"Protestors",0
"Provincial",0
"Rebel",0
"Social",446.2
"South American Indigenous",0
"Unidentified Forces",46.4
