"TSectors","Intensity"
"Business",0
"Center Left",0
"Criminals",8.8
"Dissident",0
"Exiles",0
"General Population",9.3
"Government",34.8
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Judicial",0
"Labor",0
"Legal",0
"Media",0
"Medical",0
"Military",0
"National",0
"National Ethnic",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Online News",0
"Organized Violent",0
"Parties",0
"Police",5.3
"Protestors",0
"Provincial",0
"Provincial Party",0
"Radio News",0
"Rebel",38.8
"Social",0
"Unidentified Forces",11.1
"Upper House",0
