"TSectors","Intensity"
"(National) Major Party",16
"Banned Parties",0
"Christian",0
"Criminals",0
"Dissident",14
"Education",0
"Elections Ministry",0
"General Population",59
"Government",49.4
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",0
"International Religious",0
"Legal",0
"Legislative",0
"Media",0
"Military",17.2
"Municipal",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Oromo",16
"Parties",19
"Police",0
"Protestors",0
"Radicals",0
"Rebel",29
"Refugees",0
"Separatists",30.6
"Social",11
"State Media",0
"Unidentified Forces",0
