"TSectors","Intensity"
"(National) Minor Party",19
"Agricultural",0
"Business",1.6
"Communist",0
"Criminals",0
"Dissident",10
"Education",0
"Environment Ministry",0
"General Population",98.8
"Government",102.2
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Labor",0
"Legislative",3
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Nationalist",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",49.6
"Provincial",0
"Radicals",0
"Rebel",2
"Refugees",0
"Regional Diplomatic IGOs",0
"Social",23
"Transportation Business",0
"Unidentified Forces",0
"Women",0
