"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",63.3
"Business",52.2
"Criminals",60.8
"Dissident",532.8
"Education",1.7
"General Population",2209.3
"Government",479.2
"Government Major Party (In Government)",0
"Human Rights IGOs",34.8
"Human Rights NGOs",0
"Ideological",22.1
"Insurgents",0
"International Religious",54.8
"Kashmiri",0
"Labor",84.7
"Legislative",90.2
"Media",15.9
"Medical",0
"Military",49.4
"Muslim",48.4
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",56.3
"Opposition Major Party (Out Of Government)",90.2
"Parties",108.6
"Police",98.1
"Protestors",32.8
"Radicals",0
"Rebel",0
"Separatists",11.8
"Sikh",0
"Social",30.8
"Unidentified Forces",336.8
