"TSectors","Intensity"
"Agricultural",0
"Business",4.2
"Christian",0
"Criminals",100.4
"Dissident",18.4
"Education",12.9
"Elections Ministry",0
"Exiles",0
"General Population",25.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Dissident",0
"International Insurgents",0
"International Religious",208.4
"Labor",4.4
"Legal",18.4
"Marines",0
"Media",0
"Military",29.6
"Municipal",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",4.4
"Police",51.9
"Protestors",0
"Radicals",0
"Rebel",4.4
"Separatists",3.4
"Social",459.2
"State Owned Enterprises",9.4
"State-Owned Transportation",0
"Sunni",0
"Unidentified Forces",33.4
