"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",21
"Center Left",0
"Criminals",38.6
"Dissident",0
"Education",0.5
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",486.7
"Government",172.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"International Ethnic",17.4
"Kurd (Ethnic Group)",0
"Labor",3
"Labor NGOs",0
"Legal",8
"Media",35
"Military",0
"Military Intelligence",28.5
"National",0
"Nongovernmental Organization (International)",13.2
"Nongovernmental Organizations",7
"Police",348.9
"Protestors",278.9
"Radicals",0
"Radio News",0
"Rebel",3
"Social",5.6
"State-Owned Science",0
"Sunni",3
"Unidentified Forces",17.6
