"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",0
"Dissident",115.4
"Education",0
"Exiles",0
"Far Left",57.5
"Fundamentalist",0
"General Population",121.7
"Government",0
"Human Rights IGOs",66.5
"Human Rights NGOs",0
"Information",0
"International Ethnic",90.5
"Kurd (Ethnic Group)",0
"Labor",0
"Labor NGOs",0
"Legal",0
"Media",60.5
"Military",66.5
"Military Intelligence",70.5
"National",61.5
"Nongovernmental Organization (International)",70.5
"Nongovernmental Organizations",0
"Police",61.5
"Protestors",65.9
"Radicals",0
"Radio News",0
"Rebel",0
"Social",136
"State-Owned Science",0
"Sunni",53
"Unidentified Forces",61.5
