"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",0
"Criminals",0
"Defense",0
"Dissident",490
"Education",25
"Elite",0
"Executive",28.4
"General Population",1453.9
"Government",1257.7
"Intelligence Ministry",0
"Interior",168
"International Religious",29.2
"Judicial",25
"Kurd (Ethnic Group)",0
"Labor",0
"Legal",0
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",707.9
"Muslim",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",21
"Police",161
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",1198.8
"Sunni",0
"Unidentified Forces",117.4
