"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",51
"Criminals",41.4
"Defense",9.4
"Dissident",16.4
"Education",40.4
"Elite",11.4
"Executive",13.4
"General Population",0
"Government",155.7
"Intelligence Ministry",0
"Interior",0
"International Religious",0
"Judicial",0
"Kurd (Ethnic Group)",40.4
"Labor",87.4
"Legal",0
"Legislative",0
"Local",31.4
"Media",112
"Medical",11.4
"Military",188.4
"Muslim",30.4
"National Religious",21.4
"Nongovernmental Organizations",0
"Parties",23.4
"Police",420.4
"Protestors",4.4
"Provincial",14
"Radicals",0
"Rebel",155.4
"Social",1944.1
"Sunni",0
"Unidentified Forces",149.7
