"TSectors","Intensity"
"Agricultural",0
"Business",9.2
"Catholic",0
"Criminals",43.8
"Dissident",53.8
"Education",0
"Entertainment",0
"Environment Ministry",0
"General Population",213.5
"Government",3.4
"Human Rights NGOs",0
"International Religious",10.8
"Justice",9.4
"Labor",13.8
"Legal",0
"Legislative",0
"Local",0
"Media",29.6
"Medical",0
"Military",30.8
"Municipal",0
"Muslim",0
"National Religious",31.8
"Nilotic",17.8
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",54.8
"Protestors",0
"Provincial",0
"Rebel",0
"Refugees",0
"Social",164.6
"Television Entertainment",0
"Unidentified Forces",0
"Upper House",0
