"TSectors","Intensity"
"Business",0
"Cabinet",0
"Criminals",0
"Dissident",660.4
"Education",5.5
"Elite",0
"Executive",107.1
"Executive Office",0
"Exiles",3.4
"Foreign Ministry",0
"General Population",662.8
"Government",334.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Interior",0
"International Religious",136.1
"Judicial",0
"Labor",0
"Legal",0
"Legislative",0
"Media",3.4
"Medical",17.4
"Military",406.8
"Muslim",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",34.4
"Protestors",8.4
"Rebel",0
"Refugees",2.2
"Social",0
"Unidentified Forces",190
