"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Centrist",0
"Criminals",0
"Dissident",90
"Education",0
"Elite",102.1
"Executive Office",0
"Exiles",16
"General Population",109.9
"Government",383.7
"Human Rights NGOs",0
"Intelligence Ministry",0
"International Religious",0
"Local",0
"Media",0
"Military",94.6
"Muslim",0
"National Religious",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",10
"Social",20.6
"Tuareg",0
"Unidentified Forces",21.3
