"TSectors","Intensity"
"Agricultural",0
"Buddhist",0
"Criminals",27
"Defense",0
"Dissident",20
"Elections Ministry",0
"Exiles",0
"General Population",34
"Government",38
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Intelligence Ministry",0
"Interior",21
"International Ethnic",0
"International Religious",0
"Labor",0
"Media",29
"Medical",0
"Military",22
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",20
"Protestors",0
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",0
"Social",24
"State Media",0
