"TSectors","Intensity"
"Army",77.8000000000001
"Business",93.8000000000001
"Center Left",76.8000000000001
"Christian",72.2000000000001
"Criminals",197.8
"Dissident",147
"Education",106.7
"Elections Ministry",129.8
"Entertainment",0
"Far Right",114.3
"Food Ministry",0
"General Population",0
"Government",0
"Government Major Party (In Government)",90.8000000000001
"Human Rights NGOs",0
"Insurgents",0
"International Religious",0
"Labor",95.8000000000001
"Lower House",0
"Medical",0
"Military",0
"Military Intelligence",0
"Muslim",0
"National Religious",77.8000000000001
"Parties",52.2000000000001
"Police",71.3000000000001
"Protestors",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",710.1
"State Owned Enterprises",0
"State-Owned Heavy Industrial",0
"Unidentified Forces",57.8000000000001
