"TSectors","Intensity"
"(National) Minor Party",22.3
"Air Force",34.3
"Army",0
"Business",0
"Center Right",26.3
"Centrist",0
"Criminals",100.3
"Dissident",18.5
"Education",30.1
"Executive",30.3
"General Population",326.3
"Government",294.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",34.3
"Labor",19.9
"Local",18.3
"Media",28.3
"Medical",0
"Military",124.9
"Muslim",58.9
"National Religious",93.3
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",33.3
"Rebel",0
"Social",337.9
"Unidentified Forces",201.6
