"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",7
"Business",4
"Center Right",0
"Communist",0
"Criminals",0
"Dissident",7
"Education",0
"Elite",0
"Executive",0
"Executive Office",7
"General Population",28
"Government",3.4
"Government Major Party (In Government)",0
"Ideological",0
"Judicial",0
"Labor",0
"Legal",0
"Local",0
"Medical",0
"Military",0
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Rebel",0
"Social",5
"Unidentified Forces",0
"Upper House",0
