"TSectors","Intensity"
"(National) Major Party",56.7
"Agricultural",0
"Arab",39.8
"Beja",0
"Business",86.7
"Criminals",0
"Dissident",28.7
"Education",0
"General Population",0
"Government",0
"Government Major Party (In Government)",0
"Health Ministry",59.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Ethnic",40.5
"International Religious",0
"Labor",59.7
"Local",0
"Media",49.7
"Military",175.5
"National Ethnic",0
"National Ethnic Minority",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",59.7
"Print News",0
"Protestors",0
"Provincial",50.7
"Rebel",142.9
"Refugees",59.7
"Social",342.8
"Unidentified Forces",34.8
"Women",0
