"TSectors","Intensity"
"(National) Minor Party",0
"Army",0
"Catholic",0
"Criminals",131.5
"Dissident",157.3
"Education",63.2
"Executive Office",0
"General Population",335.9
"Government",0
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",580.7
"International Religious",47.6
"Kurd (Ethnic Group)",0
"Labor",73.9
"Legal",87.9
"Local",66.2
"Media",0
"Military",138.3
"Municipal",0
"Muslim",68.5
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",64.9
"Parties",191.8
"Police",227.4
"Protestors",135.9
"Radicals",0
"Rebel",0
"Refugees",68.5
"Separatists",0
"Social",66.7
"Unidentified Forces",0
