"TSectors","Intensity"
"Business",0
"Criminals",8.4
"Defense",0
"Dissident",12.4
"Education",0
"Elite",0
"Executive",0
"Executive Office",0
"General Population",0
"Government",26.4
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Dissident",0
"International Radicals",0
"International Religious",0
"Labor",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",28.4
"Separatists",0
"Shia",0
"Social",37.4
"Unidentified Forces",0
