"country","year","month","sum"
"India",2006,6,4
"Pakistan",2006,6,4
"Bangladesh",2006,6,3
"Iraq",2006,6,3
"Nigeria",2006,6,3
"Sudan",2006,6,3
"Australia",2006,6,3
"Iran",2006,6,3
"United States",2006,6,4
"Afghanistan",2006,6,2
"Chad",2006,6,2
"Congo",2006,6,2
"Philippines",2006,6,2
"Russia",2006,6,2
"Somalia",2006,6,2
"Sri Lanka",2006,6,2
"Thailand",2006,6,2
"Algeria",2006,6,1
"Angola",2006,6,1
"Azerbaijan",2006,6,1
"Belarus",2006,6,1
"Cameroon",2006,6,1
"Central African Republic",2006,6,1
"Colombia",2006,6,1
"Cote d'Ivoire",2006,6,1
"Egypt",2006,6,1
"Haiti",2006,6,1
"Indonesia",2006,6,1
"Israel",2006,6,1
"Japan",2006,6,1
"Kenya",2006,6,1
"Laos",2006,6,1
"Lebanon",2006,6,1
"Mali",2006,6,1
"Mexico",2006,6,1
"Myanmar",2006,6,1
"Nepal",2006,6,1
"North Korea",2006,6,1
"Paraguay",2006,6,1
"Peru",2006,6,1
"Senegal",2006,6,1
"South Africa",2006,6,1
"South Korea",2006,6,1
"Spain",2006,6,1
"Syria",2006,6,1
"Turkey",2006,6,1
"Uganda",2006,6,1
"Yemen",2006,6,1
"Zimbabwe",2006,6,1
"Albania",2006,6,0
"Argentina",2006,6,0
"Armenia",2006,6,0
"Australia",2006,6,0
"Austria",2006,6,0
"Bahamas",2006,6,0
"Bahrain",2006,6,0
"Barbados",2006,6,0
"Belgium",2006,6,0
"Belize",2006,6,0
"Benin",2006,6,0
"Bhutan",2006,6,0
"Bolivia",2006,6,0
"Bosnia and Herzegovina",2006,6,0
"Botswana",2006,6,0
"Brazil",2006,6,0
"Bulgaria",2006,6,0
"Burkina Faso",2006,6,0
"Burundi",2006,6,0
"Cambodia",2006,6,0
"Canada",2006,6,0
"Cape Verde",2006,6,0
"Chile",2006,6,0
"China",2006,6,0
"Comoros",2006,6,0
"Costa Rica",2006,6,0
"Croatia",2006,6,0
"Cuba",2006,6,0
"Cyprus",2006,6,0
"Czech Republic",2006,6,0
"Denmark",2006,6,0
"Djibouti",2006,6,0
"Dominican Republic",2006,6,0
"Ecuador",2006,6,0
"El Salvador",2006,6,0
"Equatorial Guinea",2006,6,0
"Eritrea",2006,6,0
"Estonia",2006,6,0
"Ethiopia",2006,6,0
"Fiji",2006,6,0
"Finland",2006,6,0
"France",2006,6,0
"Gabon",2006,6,0
"Gambia",2006,6,0
"Georgia",2006,6,0
"Germany",2006,6,0
"Ghana",2006,6,0
"Greece",2006,6,0
"Guatemala",2006,6,0
"Guinea",2006,6,0
"Guinea-Bissau",2006,6,0
"Guyana",2006,6,0
"Honduras",2006,6,0
"Hungary",2006,6,0
"Iceland",2006,6,0
"Ireland",2006,6,0
"Italy",2006,6,0
"Jamaica",2006,6,0
"Jordan",2006,6,0
"Kazakhstan",2006,6,0
"Kuwait",2006,6,0
"Kyrgyzstan",2006,6,0
"Latvia",2006,6,0
"Lesotho",2006,6,0
"Liberia",2006,6,0
"Libya",2006,6,0
"Lithuania",2006,6,0
"Luxembourg",2006,6,0
"Madagascar",2006,6,0
"Malawi",2006,6,0
"Malaysia",2006,6,0
"Mauritania",2006,6,0
"Mauritius",2006,6,0
"Mongolia",2006,6,0
"Morocco",2006,6,0
"Mozambique",2006,6,0
"Namibia",2006,6,0
"Netherlands",2006,6,0
"New Zealand",2006,6,0
"Nicaragua",2006,6,0
"Niger",2006,6,0
"Norway",2006,6,0
"Oman",2006,6,0
"Panama",2006,6,0
"Papua New Guinea",2006,6,0
"Poland",2006,6,0
"Portugal",2006,6,0
"Qatar",2006,6,0
"Romania",2006,6,0
"Rwanda",2006,6,0
"Sao Tome and Principe",2006,6,0
"Saudi Arabia",2006,6,0
"Seychelles",2006,6,0
"Sierra Leone",2006,6,0
"Singapore",2006,6,0
"Slovakia",2006,6,0
"Slovenia",2006,6,0
"Solomon Islands",2006,6,0
"Suriname",2006,6,0
"Swaziland",2006,6,0
"Sweden",2006,6,0
"Switzerland",2006,6,0
"Tajikistan",2006,6,0
"Togo",2006,6,0
"Trinidad and Tobago",2006,6,0
"Tunisia",2006,6,0
"Turkmenistan",2006,6,0
"Ukraine",2006,6,0
"United Arab Emirates",2006,6,0
"United Kingdom",2006,6,0
"Uruguay",2006,6,0
"Uzbekistan",2006,6,0
"Venezuela",2006,6,0
"Vietnam",2006,6,0
"Zambia",2006,6,0
