"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-14.8
"Canada","Afghanistan",-83.2
"Czech Republic","Afghanistan",-23.9
"Denmark","Afghanistan",-7.2
"Finland","Afghanistan",-5
"Germany","Afghanistan",-84.4
"India","Afghanistan",-10
"Iran","Afghanistan",-10
"Italy","Afghanistan",-7.2
"Netherlands","Afghanistan",-5
"Norway","Afghanistan",-26.4
"Pakistan","Afghanistan",-382.6
"Poland","Afghanistan",-14.4
"Russia","Afghanistan",-1.6
"South Korea","Afghanistan",-21.6
"Spain","Afghanistan",-14.4
"Sri Lanka","Afghanistan",-10
"Tajikistan","Afghanistan",-14
"Turkey","Afghanistan",-5
"United Kingdom","Afghanistan",-89.2
"United States","Afghanistan",-245.2
"Greece","Albania",-10
"Kosovo","Albania",-14.5
"Montenegro","Albania",-7.5
"Serbia","Albania",-92.4
"South Korea","Albania",-0.3
"Brazil","Algeria",-5
"Iraq","Algeria",-20
"Morocco","Algeria",-2
"Spain","Algeria",-15
"United Kingdom","Algeria",-20
"Nigeria","Angola",-10
"Australia","Antarctica",-4
"Brazil","Antarctica",-4
"Bolivia","Argentina",-5
"Brazil","Argentina",-7
"France","Argentina",-2
"Hungary","Argentina",-2
"Lebanon","Argentina",-4.4
"Mexico","Argentina",-37
"Spain","Argentina",-43
"Azerbaijan","Armenia",-21.8
"Russia","Armenia",-9
"Turkey","Armenia",-32.3
"United States","Armenia",-2
"Netherlands","Aruba",-8
"Afghanistan","Australia",-5
"Fiji","Australia",-96
"France","Australia",-2
"India","Australia",-128
"Indonesia","Australia",-153.5
"Iran","Australia",-8
"Iraq","Australia",-16
"Japan","Australia",-2
"Lebanon","Australia",-2
"New Zealand","Australia",-6.4
"Pakistan","Australia",-30
"Papua New Guinea","Australia",-22
"Philippines","Australia",-2
"Serbia","Australia",-23.3
"Solomon Islands","Australia",-2
"Timor-Leste","Australia",-54
"United Kingdom","Australia",-9.4
"United States","Australia",-34
"Vanuatu","Australia",-11
"Yemen","Australia",-20
"Zambia","Australia",-5
"Iraq","Austria",-9.6
"Serbia","Austria",-31.5
"Armenia","Azerbaijan",-67.4
"Austria","Azerbaijan",-2
"Iran","Azerbaijan",-2
"Moldova, Republic of","Azerbaijan",-5
"Romania","Azerbaijan",-2
"Russia","Azerbaijan",-14
"Slovenia","Azerbaijan",-5
"Turkey","Azerbaijan",-4.4
"Afghanistan","Bahrain",-2
"Afghanistan","Bangladesh",-23
"India","Bangladesh",-29
"Pakistan","Bangladesh",-9.2
"Saudi Arabia","Bangladesh",-5
"United Kingdom","Bangladesh",-5
"United States","Bangladesh",-0.6
"North Korea","Belarus",-4
"Spain","Belarus",-0.3
"United States","Belarus",-59
"Venezuela","Belarus",-9
"Chad","Belgium",-9
"India","Belgium",-9
"Kenya","Belgium",-5
"Poland","Belgium",-5
"Serbia","Belgium",-4
"Turkey","Belgium",-14
"Uganda","Belgium",-24.4
"United Kingdom","Belgium",-10
"United States","Belize",-10
"Argentina","Bolivia",-5
"Brazil","Bolivia",-5
"Chile","Bolivia",-0.4
"Mexico","Bolivia",-2
"United States","Bolivia",-4.4
"Uruguay","Bolivia",-10
"Afghanistan","Bosnia and Herzegovina",-2
"Armenia","Bosnia and Herzegovina",-2
"Serbia","Bosnia and Herzegovina",-11.2
"United Kingdom","Bosnia and Herzegovina",-0.4
"United States","Bosnia and Herzegovina",-8
"Kenya","Botswana",-2
"South Africa","Botswana",-5
"Argentina","Brazil",-5
"Bolivia","Brazil",-5
"Chile","Brazil",-5
"Cuba","Brazil",-5
"France","Brazil",-2
"Japan","Brazil",-5
"Kazakhstan","Brazil",-5
"Lebanon","Brazil",-7
"Nicaragua","Brazil",-2
"United Kingdom","Brazil",-5
"United States","Brazil",-20
"Iraq","Bulgaria",-9
"Kosovo","Bulgaria",-5
"United States","Bulgaria",-7.2
"Rwanda","Burundi",-0.4
"Vietnam","Cambodia",-9
"Afghanistan","Canada",-79
"China","Canada",-4
"France","Canada",-5
"Germany","Canada",-11
"Haiti","Canada",-5
"Italy","Canada",-50
"Japan","Canada",-5
"Netherlands","Canada",-6
"Russia","Canada",-5
"United Kingdom","Canada",-21
"United States","Canada",-53
"Benin","Central African Republic",-10
"France","Central African Republic",-7.2
"Uganda","Central African Republic",-20
"Algeria","Chad",-2
"Belgium","Chad",-2
"Canada","Chad",-2
"France","Chad",-78.2
"Gabon","Chad",-2
"Ireland","Chad",-9.5
"Libya","Chad",-4
"Nigeria","Chad",-0.4
"Romania","Chad",-7.2
"Russia","Chad",-0.8
"South Korea","Chad",-4
"Sudan","Chad",-114.4
"Tanzania","Chad",-8.8
"United Kingdom","Chad",-2.4
"Brazil","Chile",-10
"Ecuador","Chile",-2
"India","Chile",-6
"Peru","Chile",-8
"Philippines","Chile",-10
"United States","Chile",-5
"Argentina","China",-5
"Australia","China",-7
"Bulgaria","China",-5
"Chile","China",-2
"France","China",-2
"Holy See","China",-4
"India","China",-4
"Italy","China",-2
"Japan","China",-41.4
"Myanmar","China",-10
"Nepal","China",-5
"New Zealand","China",-5
"North Korea","China",-4
"Peru","China",-2
"Philippines","China",-12
"Singapore","China",-2
"Sudan","China",-2
"Taiwan","China",-85.4
"Thailand","China",-5
"Turkey","China",-2
"United Kingdom","China",-13
"United States","China",-148.2
"Venezuela","China",-4
"Bolivia","Colombia",-5
"Cuba","Colombia",-5
"Ecuador","Colombia",-6
"El Salvador","Colombia",-6.5
"France","Colombia",-20.2
"Guatemala","Colombia",-5
"Mexico","Colombia",-22
"Nepal","Colombia",-15
"Nicaragua","Colombia",-6
"Panama","Colombia",-34
"Philippines","Colombia",-0.1
"Spain","Colombia",-0.3
"United States","Colombia",-70.2
"Uruguay","Colombia",-8.5
"Venezuela","Colombia",-78.5
"Democratic Republic of Congo","Congo",-23
"Uganda","Congo",-5
"Israel","Costa Rica",-35.5
"United States","Costa Rica",-2
"Egypt","Cote d'Ivoire",-30
"Kosovo","Croatia",-7.5
"Serbia","Croatia",-39
"Slovenia","Croatia",-24
"France","Cuba",-2
"Holy See","Cuba",-12
"Italy","Cuba",-0.3
"Spain","Cuba",-5
"United States","Cuba",-122.1
"Greece","Cyprus",-24
"Turkey","Cyprus",-11.2
"United Kingdom","Cyprus",-44
"Cuba","Czech Republic",-10
"Tanzania","Czech Republic",-0.1
"United States","Czech Republic",-60.2
"Vietnam","Czech Republic",-18.5
"Congo","Democratic Republic of Congo",-18
"Kenya","Democratic Republic of Congo",-2
"Netherlands","Democratic Republic of Congo",-5
"Uganda","Democratic Republic of Congo",-2
"Afghanistan","Denmark",-4.4
"Iran","Denmark",-9
"Iraq","Denmark",-6.5
"Jordan","Denmark",-45.5
"Pakistan","Denmark",-74
"Sudan","Denmark",-65.7
"Tunisia","Denmark",-15
"Haiti","Dominican Republic",-18
"Spain","Ecuador",-9
"United States","Ecuador",-4.4
"Venezuela","Ecuador",-2
"Israel","Egypt",-80.2
"Lebanon","Egypt",-8
"Namibia","Egypt",-5
"Spain","Egypt",-5
"Sudan","Egypt",-9
"United Kingdom","Egypt",-10
"United States","Egypt",-5
"Mexico","El Salvador",-5
"United States","El Salvador",-5
"Egypt","Eritrea",-95
"Ethiopia","Eritrea",-6
"South Korea","Eritrea",-12.4
"Vietnam","Eritrea",-5
"Russia","Estonia",-23
"Sweden","Estonia",-0.4
"Eritrea","Ethiopia",-4
"Kenya","Ethiopia",-2
"Somalia","Ethiopia",-74
"South Korea","Ethiopia",-0.4
"Sudan","Ethiopia",-10
"Vietnam","Ethiopia",-5
"Australia","Fiji",-20
"New Zealand","Fiji",-18
"Solomon Islands","Fiji",-0.6
"United States","Fiji",-10.4
"Russia","Finland",-23
"Argentina","France",-10
"Australia","France",-6
"Belgium","France",-4.4
"Canada","France",-9
"Chad","France",-109
"Chile","France",-2
"Cote d'Ivoire","France",-0.4
"Eritrea","France",-9
"Ethiopia","France",-18
"Germany","France",-37.5
"Guyana","France",-7
"Iran","France",-31.3
"Italy","France",-7
"Japan","France",-5
"Kosovo","France",-4
"Luxembourg","France",-2
"Mali","France",-2
"Mauritania","France",-18
"Niger","France",-2
"Portugal","France",-9
"Russia","France",-5
"Rwanda","France",-2
"Serbia","France",-12
"South Africa","France",-9
"Spain","France",-6
"Turkey","France",-10
"United Kingdom","France",-5
"United States","France",-16
"France","French Polynesia",-2
"Congo","Gabon",-2
"Azerbaijan","Georgia",-25
"Germany","Georgia",-4
"Russia","Georgia",-36
"United States","Georgia",-11
"Afghanistan","Germany",-12
"Argentina","Germany",-5
"Bosnia and Herzegovina","Germany",-2
"Brazil","Germany",-5
"Canada","Germany",-10
"Czech Republic","Germany",-18
"Denmark","Germany",-2
"France","Germany",-37.5
"Iran","Germany",-2
"Israel","Germany",-19.4
"Italy","Germany",-15
"Japan","Germany",-5
"Liechtenstein","Germany",-69
"Netherlands","Germany",-15
"Poland","Germany",-4
"Russia","Germany",-5
"Serbia","Germany",-24
"Somalia","Germany",-153
"Turkey","Germany",-22.2
"Ukraine","Germany",-5
"United Kingdom","Germany",-10
"United States","Germany",-54.5
"Yemen","Germany",-10
"India","Ghana",-9
"Kenya","Ghana",-11
"Liberia","Ghana",-5
"Nigeria","Ghana",-13
"United Kingdom","Ghana",-9
"United Kingdom","Gibraltar",-10
"Cyprus","Greece",-18
"North Korea","Greece",-2
"Romania","Greece",-2
"South Korea","Greece",-5
"Turkey","Greece",-2
"United States","Greece",-5
"North Korea","Grenada",-5.8
"Nicaragua","Guatemala",-2
"United States","Guatemala",-12
"United States","Haiti",-9
"China","Holy See",-4
"Colombia","Holy See",-9
"Spain","Holy See",-2
"Mexico","Honduras",-5
"China","Hong Kong",-2
"Vietnam","Hong Kong",-0.3
"Australia","Hungary",-2
"Bangladesh","Hungary",-10
"Belarus","Hungary",-5
"Czech Republic","Hungary",-5
"France","Hungary",-5
"Ireland","Hungary",-9
"Romania","Hungary",-2
"Slovakia","Hungary",-9
"Afghanistan","India",-5
"Australia","India",-32.1
"Bahrain","India",-5
"Bangladesh","India",-13
"Brazil","India",-4.4
"Canada","India",-5
"China","India",-22
"Colombia","India",-10
"Georgia","India",-5
"Greece","India",-5
"Iran","India",-7
"Israel","India",-9
"Liberia","India",-5
"Malaysia","India",-22.4
"Nepal","India",-182.4
"Nigeria","India",-5
"Pakistan","India",-115
"Paraguay","India",-2
"Peru","India",-9
"Saudi Arabia","India",-9
"Sri Lanka","India",-68
"Sudan","India",-6
"United Arab Emirates","India",-5
"United States","India",-66.6
"Australia","Indonesia",-7
"China","Indonesia",-15
"France","Indonesia",-0.4
"Lebanon","Indonesia",-2
"Libya","Indonesia",-2
"Malaysia","Indonesia",-10
"New Zealand","Indonesia",-0.4
"Philippines","Indonesia",-15
"United States","Indonesia",-14.1
"Australia","Iran",-0.8
"Azerbaijan","Iran",-4
"China","Iran",-8.4
"Denmark","Iran",-28
"Egypt","Iran",-0.4
"France","Iran",-28
"Germany","Iran",-8
"Iraq","Iran",-40
"Israel","Iran",-14.4
"Lebanon","Iran",-17
"Oman","Iran",-2
"Philippines","Iran",-2
"Russia","Iran",-73.4
"South Africa","Iran",-0.4
"South Korea","Iran",-4
"Syria","Iran",-10
"Turkey","Iran",-32.2
"Turkmenistan","Iran",-48
"United Kingdom","Iran",-8.8
"United States","Iran",-183.7
