Sums,Date
25858.5999999995,"2005_01"
53120.9000000142,"2005_02"
28004.4000000019,"2005_03"
62854.0000000181,"2005_04"
39950.2000000097,"2005_05"
33548.9000000047,"2005_06"
8783.89999999419,"2005_07"
5566.9000000006,"2005_08"
32947.3000000046,"2005_09"
28786.5000000047,"2005_10"
34658.1000000042,"2005_11"
3573.89999999637,"2005_12"
18329.1999999975,"2006_01"
5573.40000000029,"2006_02"
23005.800000005,"2006_03"
373.200000000054,"2006_04"
33819.3000000011,"2006_05"
26956.000000002,"2006_06"
-59424.1999999879,"2006_07"
-50582.7999999781,"2006_08"
25056.8000000034,"2006_09"
26238.4000000019,"2006_10"
52859.8000000159,"2006_11"
11045.0999999961,"2006_12"
11343.7999999974,"2007_01"
36834.4000000043,"2007_02"
29336.5000000033,"2007_03"
25718.8000000006,"2007_04"
17717.499999996,"2007_05"
23694.7000000004,"2007_06"
-2388.9999999997,"2007_07"
11317.5999999978,"2007_08"
22998.200000005,"2007_09"
39377.7000000117,"2007_10"
27011.2000000021,"2007_11"
19235.8000000019,"2007_12"
16461.9999999958,"2008_01"
13948.2999999977,"2008_02"
6829.80000000023,"2008_03"
32907.1000000029,"2008_04"
37584.2000000059,"2008_05"
28000.0000000016,"2008_06"
21521.6000000006,"2008_07"
-8071.2000000022,"2008_08"
21260.1999999987,"2008_09"
14776.6999999986,"2008_10"
22353.0000000013,"2008_11"
-15797.0000000013,"2008_12"
-23882.7999999917,"2009_01"
38137.4000000056,"2009_02"
25733.8000000021,"2009_03"
14583.5999999974,"2009_04"
4992.20000000028,"2009_05"
6360.69999999981,"2009_06"
9544.3999999968,"2009_07"
-6614.00000000052,"2009_08"
-2661.79999999946,"2009_09"
5517.8999999987,"2009_10"
9209.99999999909,"2009_11"
-21860.5000000008,"2009_12"
-6030.90000000148,"2010_01"
-2640.79999999985,"2010_02"
2116.20000000027,"2010_03"
-2774.19999999942,"2010_04"
10466.7999999986,"2010_05"
-9237.50000000046,"2010_06"
-9279.40000000033,"2010_07"
-15917.0000000031,"2010_08"
-1582.49999999944,"2010_09"
11643.9999999985,"2010_10"
8551.69999999562,"2010_11"
-11071.7,"2010_12"
-21182.200000001,"2011_01"
-46314.5999999943,"2011_02"
-32853.7999999976,"2011_03"
-39145.0999999943,"2011_04"
-34162.9999999964,"2011_05"
-21528.200000001,"2011_06"
-30422.9999999997,"2011_07"
-40968.3999999932,"2011_08"
-18932.4000000026,"2011_09"
-23842.799999999,"2011_10"
-28560.7000000004,"2011_11"
-30363.2999999981,"2011_12"
-27816.3,"2012_01"
-30390.4999999985,"2012_02"
-30526.0999999983,"2012_03"
-22942.6000000011,"2012_04"
-23038.4000000007,"2012_05"
-16881.4000000016,"2012_06"
-18859.6000000005,"2012_07"
-38358.9999999945,"2012_08"
-26713.2999999993,"2012_09"
-33283.2999999969,"2012_10"
-28353.7999999984,"2012_11"
-26203.4000000002,"2012_12"
-28307.499999999,"2013_01"
-23429.6999999985,"2013_02"
-14672.6000000041,"2013_03"
-11013.6000000006,"2013_04"
-29277.3999999989,"2013_05"
-23636.4999999994,"2013_06"
-32139.0999999983,"2013_07"
-39933.8999999952,"2013_08"
-25585.9,"2013_09"
-20373.5000000011,"2013_10"
-11068.3000000002,"2013_11"
-27817.1000000006,"2013_12"
-41810.599999993,"2014_01"
-28160.6999999995,"2014_02"
-33839.9999999971,"2014_03"
-24494.6999999992,"2014_04"
-31861.1999999967,"2014_05"
-29846.2999999972,"2014_06"
-49559.1999999937,"2014_07"
-45606.9999999933,"2014_08"
-12785.2000000012,"2014_09"
-30709.4999999979,"2014_10"
-12352.1000000022,"2014_11"
-37722.7999999962,"2014_12"
-46440.5999999867,"2015_01"
-10206.0000000018,"2015_02"
