"time","intensity"
"2005_01",496.8
"2005_02",220.2
"2005_03",848.2
"2005_04",1294.5
"2005_05",2133
"2005_06",2118.5
"2005_07",2435.2
"2005_08",2661.3
"2005_09",3379.4
"2005_10",2868.3
"2005_11",2038.2
"2005_12",1781.8
"2006_01",1914.3
"2006_02",3666.9
"2006_03",2685.1
"2006_04",4025.6
"2006_05",5079.1
"2006_06",4790.2
"2006_07",4700.5
"2006_08",4348.5
"2006_09",5634
"2006_10",3564.9
"2006_11",2118.7
"2006_12",2498.7
"2007_01",2394.5
"2007_02",2215.8
"2007_03",3774.3
"2007_04",5266.1
"2007_05",3147.9
"2007_06",4149.9
"2007_07",4483.7
"2007_08",3904.2
"2007_09",3447.2
"2007_10",3308.9
"2007_11",3645.7
"2007_12",2301.6
"2008_01",1803.4
"2008_02",1909.5
"2008_03",2121.3
"2008_04",3465.9
"2008_05",2869.2
"2008_06",3443.5
"2008_07",3302.9
"2008_08",3584.9
"2008_09",2652.8
"2008_10",3193.9
"2008_11",2365.5
"2008_12",1964.8
"2009_01",1818.7
"2009_02",2866.2
"2009_03",2595.4
"2009_04",3493.7
"2009_05",3498.6
"2009_06",2676.7
"2009_07",2941.3
"2009_08",3085.5
"2009_09",2430.3
"2009_10",2210.9
"2009_11",1927.8
"2009_12",2294.6
"2010_01",3123.6
"2010_02",2662.3
"2010_03",1846.2
"2010_04",1967.9
"2010_05",3025.1
"2010_06",2350
"2010_07",3311.8
"2010_08",4461.8
"2010_09",2454.2
"2010_10",1989.2
"2010_11",2247.6
"2010_12",2894.3
"2011_01",1780.4
"2011_02",2545.5
"2011_03",1224.8
"2011_04",3842.2
"2011_05",4180.3
"2011_06",3054.4
"2011_07",4486.2
"2011_08",3630
"2011_09",3270.8
"2011_10",3340.8
"2011_11",2514.4
"2011_12",2697.9
"2012_01",2070.1
"2012_02",2018.4
"2012_03",1853.9
"2012_04",3358.4
"2012_05",2642.5
"2012_06",2841.1
"2012_07",3039.9
"2012_08",3687.3
"2012_09",3300.6
"2012_10",3758.4
"2012_11",2623.4
"2012_12",2063.3
"2013_01",2899.4
"2013_02",1735.2
"2013_03",2207.3
"2013_04",2656.9
"2013_05",3699.7
"2013_06",3818
"2013_07",2988.3
"2013_08",2738.2
"2013_09",3112.9
"2013_10",1645.5
"2013_11",1034.7
"2013_12",1415.5
"2014_01",2985.5
"2014_02",1316.2
"2014_03",3159.8
"2014_04",2608.2
"2014_05",2613.1
"2014_06",2818.6
"2014_07",3354.1
"2014_08",3269
"2014_09",1410.7
"2014_10",3177.9
"2014_11",2953.2
"2014_12",2741.9
"2015_01",2562.7
"2015_02",2979.1
