"time","intensity"
"2005_01",259.9
"2005_02",204.3
"2005_03",255.1
"2005_04",303.5
"2005_05",171
"2005_06",198.5
"2005_07",199.7
"2005_08",161.8
"2005_09",239.4
"2005_10",382.2
"2005_11",119.7
"2005_12",106.5
"2006_01",242.3
"2006_02",156.6
"2006_03",0
"2006_04",193.5
"2006_05",212.9
"2006_06",250.5
"2006_07",145.1
"2006_08",160.7
"2006_09",124.4
"2006_10",287.4
"2006_11",419.9
"2006_12",183.3
"2007_01",245.8
"2007_02",235.1
"2007_03",519.9
"2007_04",245
"2007_05",201.2
"2007_06",160.3
"2007_07",304.7
"2007_08",193.9
"2007_09",530.3
"2007_10",184.3
"2007_11",205
"2007_12",288.1
"2008_01",248.4
"2008_02",259.5
"2008_03",199.8
"2008_04",259.5
"2008_05",257.3
"2008_06",246.1
"2008_07",161.2
"2008_08",312.9
"2008_09",248.5
"2008_10",132.8
"2008_11",162.7
"2008_12",177.5
"2009_01",131.8
"2009_02",310.5
"2009_03",444.2
"2009_04",127.1
"2009_05",262.1
"2009_06",379.8
"2009_07",222.7
"2009_08",243.3
"2009_09",115
"2009_10",426.9
"2009_11",240.7
"2009_12",140.8
"2010_01",218.9
"2010_02",250.9
"2010_03",160.3
"2010_04",194.8
"2010_05",144.9
"2010_06",273
"2010_07",226.8
"2010_08",188.1
"2010_09",133
"2010_10",138.9
"2010_11",299.3
"2010_12",233.5
"2011_01",735.7
"2011_02",825
"2011_03",230.2
"2011_04",267.8
"2011_05",249.2
"2011_06",157
"2011_07",295.1
"2011_08",356.6
"2011_09",217.9
"2011_10",176.3
"2011_11",167.3
"2011_12",165
"2012_01",279.9
"2012_02",295.1
"2012_03",163.3
"2012_04",219.4
"2012_05",275.7
"2012_06",245
"2012_07",153.5
"2012_08",172.6
"2012_09",110.8
"2012_10",265.8
"2012_11",187.4
"2012_12",224.1
"2013_01",1117.7
"2013_02",400
"2013_03",296.8
"2013_04",313.2
"2013_05",293.5
"2013_06",152.4
"2013_07",187.5
"2013_08",195.4
"2013_09",223.3
"2013_10",131
"2013_11",146
"2013_12",207.5
"2014_01",186.1
"2014_02",169.3
"2014_03",551.9
"2014_04",812.6
"2014_05",447
"2014_06",160.2
"2014_07",114.5
"2014_08",164.7
"2014_09",196.2
"2014_10",326
"2014_11",343.4
"2014_12",300.5
"2015_01",211.8
"2015_02",144.3
