"time","intensity"
"2005_01",691.7
"2005_02",401.7
"2005_03",609.1
"2005_04",504.2
"2005_05",511.5
"2005_06",305
"2005_07",726.9
"2005_08",835.3
"2005_09",739.2
"2005_10",441.7
"2005_11",542.3
"2005_12",444.6
"2006_01",608.4
"2006_02",573.2
"2006_03",469.2
"2006_04",263.7
"2006_05",413.2
"2006_06",618.5
"2006_07",667.8
"2006_08",316.5
"2006_09",543.3
"2006_10",428.1
"2006_11",470.3
"2006_12",461.1
"2007_01",466.2
"2007_02",402.5
"2007_03",500.4
"2007_04",742.4
"2007_05",744.8
"2007_06",0
"2007_07",181.1
"2007_08",310
"2007_09",705.6
"2007_10",748.9
"2007_11",307.5
"2007_12",534.5
"2008_01",490.5
"2008_02",228.6
"2008_03",337.6
"2008_04",545
"2008_05",613.4
"2008_06",482
"2008_07",411.3
"2008_08",420.3
"2008_09",216.6
"2008_10",353.6
"2008_11",325.1
"2008_12",484.2
"2009_01",368.4
"2009_02",170.6
"2009_03",106.4
"2009_04",315.2
"2009_05",436.9
"2009_06",318.9
"2009_07",97.3999999999999
"2009_08",383.9
"2009_09",311.6
"2009_10",379.4
"2009_11",360
"2009_12",374.6
"2010_01",814.5
"2010_02",354.7
"2010_03",433.8
"2010_04",326.1
"2010_05",699.9
"2010_06",681.7
"2010_07",529.2
"2010_08",465.9
"2010_09",322.7
"2010_10",393.8
"2010_11",286.8
"2010_12",433.5
"2011_01",247.1
"2011_02",302.4
"2011_03",376.4
"2011_04",399.1
"2011_05",342.2
"2011_06",239.4
"2011_07",442.1
"2011_08",475.7
"2011_09",360.4
"2011_10",282.2
"2011_11",219.4
"2011_12",387
"2012_01",520
"2012_02",432.5
"2012_03",458.4
"2012_04",605.1
"2012_05",595.3
"2012_06",696.6
"2012_07",939.1
"2012_08",761.3
"2012_09",676.9
"2012_10",636.7
"2012_11",701
"2012_12",714.2
"2013_01",871.8
"2013_02",597.3
"2013_03",1040.5
"2013_04",493.6
"2013_05",611.3
"2013_06",547
"2013_07",539
"2013_08",588.5
"2013_09",743.5
"2013_10",808.4
"2013_11",586.2
"2013_12",562.7
"2014_01",553.7
"2014_02",875.7
"2014_03",1011.3
"2014_04",890.9
"2014_05",674.8
"2014_06",599.5
"2014_07",623.7
"2014_08",796.4
"2014_09",660.3
"2014_10",582.6
"2014_11",443
"2014_12",646.5
"2015_01",951.1
"2015_02",853.1
