"time","intensity"
"2005_01",1220.9
"2005_02",2166.4
"2005_03",2788
"2005_04",2610.4
"2005_05",1966.1
"2005_06",1320.9
"2005_07",1679.6
"2005_08",1736.3
"2005_09",1502.1
"2005_10",1702.4
"2005_11",3211.8
"2005_12",2343.6
"2006_01",1590.1
"2006_02",2193.3
"2006_03",1705.2
"2006_04",1779
"2006_05",1608
"2006_06",1906.7
"2006_07",2142.6
"2006_08",2323.2
"2006_09",2013.5
"2006_10",1475.4
"2006_11",2042.3
"2006_12",1547.8
"2007_01",2249.6
"2007_02",2059.8
"2007_03",2832.8
"2007_04",1559.5
"2007_05",2601.2
"2007_06",3118.4
"2007_07",2591.9
"2007_08",2733.8
"2007_09",2410.7
"2007_10",1899.4
"2007_11",2218.1
"2007_12",1278.6
"2008_01",2053.2
"2008_02",1385.6
"2008_03",1714.7
"2008_04",2242.1
"2008_05",3121.8
"2008_06",2462
"2008_07",2027.4
"2008_08",1583
"2008_09",1624.2
"2008_10",1514.1
"2008_11",2155.6
"2008_12",2693
"2009_01",1820.8
"2009_02",1379
"2009_03",1618.4
"2009_04",1906.3
"2009_05",2275.4
"2009_06",2814.2
"2009_07",2402.9
"2009_08",2497.3
"2009_09",1895
"2009_10",1743.7
"2009_11",1709.1
"2009_12",1610.9
"2010_01",1594.3
"2010_02",1857.1
"2010_03",1684.6
"2010_04",1070.3
"2010_05",2132.6
"2010_06",1374.7
"2010_07",1466.1
"2010_08",0
"2010_09",849.6
"2010_10",1471.4
"2010_11",1650.2
"2010_12",1474.3
"2011_01",799.7
"2011_02",951.3
"2011_03",1433.2
"2011_04",1593.7
"2011_05",1950.8
"2011_06",1256.6
"2011_07",1525.6
"2011_08",1296.8
"2011_09",1697.3
"2011_10",1789.5
"2011_11",1263.3
"2011_12",1370
"2012_01",1481.1
"2012_02",1510.5
"2012_03",1868.9
"2012_04",1970.4
"2012_05",1907.1
"2012_06",1314.7
"2012_07",1809.5
"2012_08",1714.2
"2012_09",1736.4
"2012_10",1600.5
"2012_11",1985.7
"2012_12",1663.7
"2013_01",1400.8
"2013_02",1690.4
"2013_03",1837
"2013_04",1654
"2013_05",1432.8
"2013_06",1479.6
"2013_07",1284.5
"2013_08",1901
"2013_09",1792.1
"2013_10",1986.3
"2013_11",1977.7
"2013_12",1452.4
"2014_01",2171.9
"2014_02",1532.8
"2014_03",1055
"2014_04",1527.1
"2014_05",1655.9
"2014_06",1782.2
"2014_07",1483.9
"2014_08",1875.6
"2014_09",3028.7
"2014_10",2115.3
"2014_11",1809.9
"2014_12",2192.3
"2015_01",1821.8
"2015_02",1826.9
