"time","intensity"
"2005_01",137.1
"2005_02",130.7
"2005_03",168.6
"2005_04",129.7
"2005_05",320.5
"2005_06",204.8
"2005_07",90.9
"2005_08",72.5
"2005_09",308.7
"2005_10",813
"2005_11",914.5
"2005_12",159.3
"2006_01",271.9
"2006_02",124.9
"2006_03",75.2
"2006_04",125
"2006_05",174.5
"2006_06",95.3
"2006_07",149.5
"2006_08",81.1
"2006_09",150.9
"2006_10",115.9
"2006_11",140.1
"2006_12",102.9
"2007_01",205.9
"2007_02",29.5
"2007_03",24.1
"2007_04",227
"2007_05",83.5
"2007_06",61.3
"2007_07",184.9
"2007_08",161.6
"2007_09",243.3
"2007_10",202.7
"2007_11",431.5
"2007_12",151
"2008_01",205.7
"2008_02",59.8
"2008_03",211.3
"2008_04",142.5
"2008_05",98.1
"2008_06",135.1
"2008_07",123.6
"2008_08",166.3
"2008_09",68.5
"2008_10",119.8
"2008_11",150.4
"2008_12",76.4
"2009_01",216.1
"2009_02",182
"2009_03",183.1
"2009_04",362.6
"2009_05",413.5
"2009_06",133.6
"2009_07",176.4
"2009_08",100.8
"2009_09",113.9
"2009_10",184.9
"2009_11",250.7
"2009_12",257.6
"2010_01",411.2
"2010_02",146.1
"2010_03",189
"2010_04",239.7
"2010_05",117.7
"2010_06",67.2
"2010_07",152.8
"2010_08",135.9
"2010_09",120.4
"2010_10",74.7
"2010_11",0
"2010_12",123.8
"2011_01",214.2
"2011_02",215.8
"2011_03",558.9
"2011_04",433.2
"2011_05",290.1
"2011_06",205.6
"2011_07",196.5
"2011_08",188
"2011_09",171.5
"2011_10",219.9
"2011_11",219.9
"2011_12",201.4
"2012_01",175.9
"2012_02",165.1
"2012_03",327
"2012_04",325.7
"2012_05",391.1
"2012_06",228.9
"2012_07",183.6
"2012_08",155.7
"2012_09",182.3
"2012_10",296.5
"2012_11",194.5
"2012_12",216
"2013_01",366.6
"2013_02",271.5
"2013_03",213
"2013_04",212.4
"2013_05",327.8
"2013_06",144.6
"2013_07",152.3
"2013_08",190.9
"2013_09",153
"2013_10",214.4
"2013_11",250.5
"2013_12",261.6
"2014_01",281.9
"2014_02",172.8
"2014_03",150.2
"2014_04",180.5
"2014_05",214.1
"2014_06",105.3
"2014_07",238.8
"2014_08",265.1
"2014_09",170.3
"2014_10",168.1
"2014_11",225.4
"2014_12",202
"2015_01",270.2
"2015_02",179.4
