"time","intensity"
"2005_01",1334.1
"2005_02",1631.7
"2005_03",798.7
"2005_04",941.6
"2005_05",1381.1
"2005_06",1209.4
"2005_07",1235.1
"2005_08",1515.5
"2005_09",1595.7
"2005_10",1590.1
"2005_11",1656.9
"2005_12",2272.4
"2006_01",1649.6
"2006_02",1052
"2006_03",1612
"2006_04",1676.8
"2006_05",1484.9
"2006_06",1322.8
"2006_07",1297.5
"2006_08",1273.4
"2006_09",1473.4
"2006_10",846.1
"2006_11",1152.4
"2006_12",987.3
"2007_01",2256
"2007_02",970.2
"2007_03",1285.4
"2007_04",1409.3
"2007_05",1175
"2007_06",1046.9
"2007_07",1217.5
"2007_08",579.2
"2007_09",934.9
"2007_10",324.9
"2007_11",470.5
"2007_12",212.6
"2008_01",317.9
"2008_02",374.2
"2008_03",475.9
"2008_04",434.8
"2008_05",544.7
"2008_06",386
"2008_07",508.2
"2008_08",424.7
"2008_09",32
"2008_10",306.5
"2008_11",334.8
"2008_12",530.6
"2009_01",424.6
"2009_02",537.1
"2009_03",741.3
"2009_04",471.5
"2009_05",909.5
"2009_06",540
"2009_07",1006.7
"2009_08",324.2
"2009_09",647.6
"2009_10",809.3
"2009_11",659.3
"2009_12",514.7
"2010_01",596.9
"2010_02",998.2
"2010_03",582.3
"2010_04",866.2
"2010_05",656.5
"2010_06",901.4
"2010_07",1063.6
"2010_08",882.4
"2010_09",401.2
"2010_10",488.2
"2010_11",1134.9
"2010_12",622.2
"2011_01",781.9
"2011_02",942.6
"2011_03",465.9
"2011_04",622.6
"2011_05",525.2
"2011_06",555.3
"2011_07",737.6
"2011_08",615.7
"2011_09",701.7
"2011_10",490.2
"2011_11",377.3
"2011_12",369.1
"2012_01",541.9
"2012_02",411.1
"2012_03",568.7
"2012_04",465.1
"2012_05",523.1
"2012_06",438.9
"2012_07",553.7
"2012_08",535.3
"2012_09",928.1
"2012_10",969.9
"2012_11",1270.1
"2012_12",1263.1
"2013_01",360.2
"2013_02",846.8
"2013_03",957.2
"2013_04",507.7
"2013_05",509.2
"2013_06",118.4
"2013_07",936.5
"2013_08",665.1
"2013_09",598.8
"2013_10",974.7
"2013_11",1065.1
"2013_12",1277.2
"2014_01",1137
"2014_02",362.2
"2014_03",119.8
"2014_04",72.5
"2014_05",109.3
"2014_06",353
"2014_07",201.1
"2014_08",299
"2014_09",747.9
"2014_10",680.5
"2014_11",391.6
"2014_12",367.6
"2015_01",798.5
"2015_02",874
