"time","intensity"
"2005_01",52.5
"2005_02",55.8
"2005_03",88.7
"2005_04",69.8
"2005_05",51.8
"2005_06",24.7
"2005_07",69.8
"2005_08",73.8
"2005_09",0
"2005_10",67.8
"2005_11",59.8
"2005_12",46.4
"2006_01",147.8
"2006_02",116.8
"2006_03",120.8
"2006_04",67.8
"2006_05",62.2
"2006_06",70
"2006_07",57.8
"2006_08",96.8
"2006_09",72.6
"2006_10",138.3
"2006_11",161.2
"2006_12",263.3
"2007_01",9.3
"2007_02",74.1
"2007_03",176.8
"2007_04",0
"2007_05",54
"2007_06",129.8
"2007_07",0
"2007_08",49.8
"2007_09",94.8
"2007_10",35.8
"2007_11",73.8
"2007_12",0
"2008_01",72.8
"2008_02",100.8
"2008_03",132.8
"2008_04",0
"2008_05",79.8
"2008_06",70.8
"2008_07",56.1
"2008_08",64.8
"2008_09",65.8
"2008_10",80.8
"2008_11",100.9
"2008_12",68.2
"2009_01",87.8
"2009_02",92.8
"2009_03",64.3
"2009_04",102.3
"2009_05",72.8
"2009_06",170.4
"2009_07",91.9
"2009_08",72.4
"2009_09",64.8
"2009_10",0
"2009_11",79.4
"2009_12",50.8
"2010_01",67.8
"2010_02",75.8
"2010_03",137.8
"2010_04",100.8
"2010_05",39.2
"2010_06",81.2
"2010_07",113.8
"2010_08",51.6
"2010_09",57.8
"2010_10",83
"2010_11",121.4
"2010_12",69.6
"2011_01",120.9
"2011_02",75.4
"2011_03",104.8
"2011_04",84.8
"2011_05",63.8
"2011_06",107.8
"2011_07",86.6
"2011_08",0
"2011_09",97.8
"2011_10",65.8
"2011_11",0
"2011_12",65.8
"2012_01",80.8
"2012_02",63.8
"2012_03",64.8
"2012_04",53.8
"2012_05",79.8
"2012_06",82.4
"2012_07",0
"2012_08",66.3
"2012_09",79.3
"2012_10",93.7
"2012_11",81.8
"2012_12",177.1
"2013_01",128.7
"2013_02",67.2
"2013_03",375
"2013_04",318.3
"2013_05",175.8
"2013_06",135.2
"2013_07",68.8
"2013_08",169.9
"2013_09",336.4
"2013_10",309
"2013_11",277.7
"2013_12",632.5
"2014_01",272.8
"2014_02",437.5
"2014_03",431.1
"2014_04",659.4
"2014_05",496.1
"2014_06",315
"2014_07",273.8
"2014_08",202.7
"2014_09",104
"2014_10",240.5
"2014_11",65.8
"2014_12",121.8
"2015_01",293.8
"2015_02",46.8
