"time","intensity"
"2005_01",63.3
"2005_02",61.9
"2005_03",0
"2005_04",60.7
"2005_05",77.7
"2005_06",99.2
"2005_07",61.7
"2005_08",60.3
"2005_09",121.7
"2005_10",68.7
"2005_11",171.7
"2005_12",154.8
"2006_01",96.9
"2006_02",83.7
"2006_03",231.3
"2006_04",553.6
"2006_05",57.1
"2006_06",189.5
"2006_07",101.3
"2006_08",64.3
"2006_09",112
"2006_10",241.7
"2006_11",283.2
"2006_12",365.6
"2007_01",89.4
"2007_02",114.7
"2007_03",55.3
"2007_04",203.7
"2007_05",124.7
"2007_06",57.3
"2007_07",35.7
"2007_08",28.7
"2007_09",64.7
"2007_10",0
"2007_11",257.2
"2007_12",285.9
"2008_01",129.1
"2008_02",1118
"2008_03",77.1
"2008_04",62.7
"2008_05",89.7
"2008_06",299.1
"2008_07",181.3
"2008_08",118.7
"2008_09",54.7
"2008_10",70.3
"2008_11",68.7
"2008_12",74.7
"2009_01",83.7
"2009_02",61.3
"2009_03",92.7
"2009_04",116.7
"2009_05",286.5
"2009_06",0
"2009_07",54.7
"2009_08",60.7
"2009_09",73.7
"2009_10",71.7
"2009_11",0
"2009_12",109.7
"2010_01",67.7
"2010_02",71.3
"2010_03",58.7
"2010_04",93.7
"2010_05",76.7
"2010_06",63.7
"2010_07",66.9
"2010_08",66.7
"2010_09",0
"2010_10",62.7
"2010_11",74.1
"2010_12",62.7
"2011_01",60.7
"2011_02",84.7
"2011_03",50.1
"2011_04",57.9
"2011_05",61.3
"2011_06",0
"2011_07",69.7
"2011_08",73.7
"2011_09",83.7
"2011_10",44.7
"2011_11",85.7
"2011_12",70.3
"2012_01",58.7
"2012_02",57.9
"2012_03",71.7
"2012_04",0
"2012_05",48.7
"2012_06",0
"2012_07",66.7
"2012_08",0
"2012_09",0
"2012_10",64.7
"2012_11",52.7
"2012_12",64
"2013_01",69.7
"2013_02",140.7
"2013_03",109.9
"2013_04",57.9
"2013_05",166.8
"2013_06",58.7
"2013_07",71.3
"2013_08",83.9
"2013_09",64.7
"2013_10",82.3
"2013_11",72.9
"2013_12",156.3
"2014_01",50.1
"2014_02",123.2
"2014_03",86.5
"2014_04",115.3
"2014_05",59.7
"2014_06",69.3
"2014_07",81.3
"2014_08",84.7
"2014_09",63.3
"2014_10",114.7
"2014_11",80.7
"2014_12",53.9
"2015_01",106.3
"2015_02",113.3
