"time","intensity"
"2005_01",2255.9
"2005_02",2145.7
"2005_03",1624
"2005_04",1835.9
"2005_05",1635.3
"2005_06",2293.8
"2005_07",1665.1
"2005_08",2354.2
"2005_09",2190.2
"2005_10",2090.1
"2005_11",1981.1
"2005_12",3532.1
"2006_01",2372.5
"2006_02",2369
"2006_03",1566.2
"2006_04",2208.6
"2006_05",2355.5
"2006_06",2219.5
"2006_07",2204.3
"2006_08",2048.5
"2006_09",2409.5
"2006_10",2508
"2006_11",2763.6
"2006_12",2781.1
"2007_01",3222.8
"2007_02",2406.5
"2007_03",2045.5
"2007_04",2206
"2007_05",2847.6
"2007_06",2902.8
"2007_07",3022.9
"2007_08",2769.7
"2007_09",2322.8
"2007_10",2354.2
"2007_11",2345.2
"2007_12",2236.8
"2008_01",2403.5
"2008_02",2145.4
"2008_03",4322.6
"2008_04",3259.7
"2008_05",0
"2008_06",2296.8
"2008_07",3913.3
"2008_08",3765.5
"2008_09",2535.7
"2008_10",2563.2
"2008_11",3089.1
"2008_12",2417
"2009_01",2588
"2009_02",2740
"2009_03",3332.5
"2009_04",2628.7
"2009_05",2680.4
"2009_06",2887.4
"2009_07",5455
"2009_08",2950.1
"2009_09",3287.1
"2009_10",3322.2
"2009_11",2982.6
"2009_12",3825.4
"2010_01",2843.1
"2010_02",3110.7
"2010_03",2655.8
"2010_04",2535.1
"2010_05",2759.7
"2010_06",3086.9
"2010_07",3132.4
"2010_08",3032.6
"2010_09",2168.8
"2010_10",2417.6
"2010_11",2903.3
"2010_12",2621.5
"2011_01",2616.8
"2011_02",2427.9
"2011_03",2568.1
"2011_04",3173.9
"2011_05",2457.9
"2011_06",2947.1
"2011_07",3922.1
"2011_08",3530.7
"2011_09",2876.6
"2011_10",2547.8
"2011_11",2591.1
"2011_12",3559.2
"2012_01",3034.1
"2012_02",3081.5
"2012_03",2420.5
"2012_04",2920
"2012_05",2846.8
"2012_06",2698
"2012_07",2795.2
"2012_08",3163.4
"2012_09",2751.1
"2012_10",3094.4
"2012_11",2307.9
"2012_12",3011.5
"2013_01",2338.2
"2013_02",2689.7
"2013_03",2380
"2013_04",2668.3
"2013_05",2934.1
"2013_06",3547.6
"2013_07",3091
"2013_08",3174.4
"2013_09",2927.9
"2013_10",3143.2
"2013_11",2988
"2013_12",3448.5
"2014_01",3660.5
"2014_02",3143
"2014_03",4959.2
"2014_04",2805.5
"2014_05",4586.4
"2014_06",4227.1
"2014_07",4122.3
"2014_08",3478.8
"2014_09",3999.1
"2014_10",3402
"2014_11",2696
"2014_12",4035.7
"2015_01",3326.7
"2015_02",2835.3
