"time","intensity"
"2005_01",248.6
"2005_02",137.2
"2005_03",157.3
"2005_04",142.7
"2005_05",274.8
"2005_06",393.9
"2005_07",344.3
"2005_08",101.4
"2005_09",21.8
"2005_10",114.9
"2005_11",237.6
"2005_12",14.4
"2006_01",186.9
"2006_02",206.5
"2006_03",264.5
"2006_04",75.2
"2006_05",236.5
"2006_06",252.9
"2006_07",586.6
"2006_08",222.4
"2006_09",130.8
"2006_10",328.1
"2006_11",579.4
"2006_12",132.6
"2007_01",128.8
"2007_02",280.7
"2007_03",659.2
"2007_04",222.9
"2007_05",60.1
"2007_06",90.5
"2007_07",27.9
"2007_08",139.1
"2007_09",550.4
"2007_10",475.7
"2007_11",258.4
"2007_12",338
"2008_01",26.8
"2008_02",184.6
"2008_03",476.7
"2008_04",125.4
"2008_05",161
"2008_06",200.1
"2008_07",123
"2008_08",91.3
"2008_09",308.3
"2008_10",617.2
"2008_11",1467.9
"2008_12",303
"2009_01",97.5
"2009_02",13.3
"2009_03",42.7
"2009_04",37.6
"2009_05",23.2
"2009_06",120.2
"2009_07",30.2
"2009_08",80.3
"2009_09",27
"2009_10",127.4
"2009_11",32.8
"2009_12",57.2
"2010_01",8.4
"2010_02",7.2
"2010_03",30.3
"2010_04",283.2
"2010_05",16.2
"2010_06",0
"2010_07",38.9
"2010_08",111.5
"2010_09",71.3
"2010_10",83.9
"2010_11",65.4
"2010_12",21.9
"2011_01",128.4
"2011_02",93.6
"2011_03",117.7
"2011_04",19.5
"2011_05",74.6
"2011_06",173
"2011_07",64.9
"2011_08",61.8
"2011_09",212.6
"2011_10",198.3
"2011_11",472.4
"2011_12",492
"2012_01",84.4
"2012_02",112.4
"2012_03",120.5
"2012_04",137.6
"2012_05",453.4
"2012_06",150.9
"2012_07",284.6
"2012_08",209.3
"2012_09",68.2
"2012_10",359.4
"2012_11",423.5
"2012_12",288
"2013_01",238.4
"2013_02",307.8
"2013_03",335.4
"2013_04",112.6
"2013_05",525.6
"2013_06",86.8
"2013_07",494.5
"2013_08",442.8
"2013_09",156.8
"2013_10",387.5
"2013_11",219.5
"2013_12",221.7
"2014_01",46.8
"2014_02",163.7
"2014_03",107.3
"2014_04",185.1
"2014_05",174
"2014_06",192.6
"2014_07",146.7
"2014_08",200.3
"2014_09",191.3
"2014_10",216
"2014_11",216.8
"2014_12",298.5
"2015_01",1016.9
"2015_02",134.4
