"time","intensity"
"2005_01",180.1
"2005_02",224.6
"2005_03",160.6
"2005_04",253
"2005_05",137.7
"2005_06",1517.1
"2005_07",452.3
"2005_08",290.2
"2005_09",336
"2005_10",539.9
"2005_11",1893.5
"2005_12",379.8
"2006_01",335.7
"2006_02",206.1
"2006_03",356.4
"2006_04",259.1
"2006_05",97.5
"2006_06",219.6
"2006_07",204.5
"2006_08",1.5
"2006_09",208.5
"2006_10",229.4
"2006_11",196.1
"2006_12",276
"2007_01",323.5
"2007_02",153.1
"2007_03",179.3
"2007_04",242.7
"2007_05",288.2
"2007_06",261.9
"2007_07",63.9
"2007_08",116.6
"2007_09",295.1
"2007_10",361.6
"2007_11",476.8
"2007_12",337
"2008_01",207.2
"2008_02",159.2
"2008_03",223.8
"2008_04",232.6
"2008_05",404
"2008_06",256.3
"2008_07",213.5
"2008_08",184.1
"2008_09",289.2
"2008_10",135
"2008_11",312.6
"2008_12",277.1
"2009_01",168.2
"2009_02",148.3
"2009_03",291.2
"2009_04",158.7
"2009_05",187
"2009_06",153.7
"2009_07",352.6
"2009_08",338.7
"2009_09",279.4
"2009_10",217
"2009_11",236.8
"2009_12",236
"2010_01",28.2
"2010_02",173.2
"2010_03",379.3
"2010_04",279.2
"2010_05",609
"2010_06",230.3
"2010_07",123.8
"2010_08",178.4
"2010_09",126.6
"2010_10",0
"2010_11",287.3
"2010_12",210.1
"2011_01",126.2
"2011_02",263.2
"2011_03",356.2
"2011_04",147.6
"2011_05",213
"2011_06",119.6
"2011_07",243.2
"2011_08",155.8
"2011_09",301.1
"2011_10",210.2
"2011_11",149.6
"2011_12",107.2
"2012_01",311.4
"2012_02",210.2
"2012_03",211.4
"2012_04",169.8
"2012_05",204.6
"2012_06",286.6
"2012_07",348.6
"2012_08",60.9
"2012_09",73.2
"2012_10",178.2
"2012_11",61.8
"2012_12",151.2
"2013_01",210.2
"2013_02",146.8
"2013_03",119.6
"2013_04",110.2
"2013_05",210.9
"2013_06",142.1
"2013_07",255.6
"2013_08",217.7
"2013_09",186.9
"2013_10",203.2
"2013_11",98.9
"2013_12",252.3
"2014_01",37.7
"2014_02",136.6
"2014_03",123.9
"2014_04",269
"2014_05",205.7
"2014_06",138.4
"2014_07",220.1
"2014_08",119.3
"2014_09",16.3
"2014_10",187.9
"2014_11",146.6
"2014_12",142.3
"2015_01",118.6
"2015_02",139.8
