"time","intensity"
"2005_01",372
"2005_02",508.5
"2005_03",477.9
"2005_04",428.1
"2005_05",664.1
"2005_06",554.7
"2005_07",331.9
"2005_08",436.2
"2005_09",546.2
"2005_10",478.5
"2005_11",498.7
"2005_12",470.1
"2006_01",497.1
"2006_02",576.6
"2006_03",561.9
"2006_04",534.6
"2006_05",584.2
"2006_06",536.7
"2006_07",424.7
"2006_08",431
"2006_09",634.4
"2006_10",369.1
"2006_11",702.3
"2006_12",527
"2007_01",656.7
"2007_02",691.7
"2007_03",818.8
"2007_04",691.2
"2007_05",509.3
"2007_06",510.1
"2007_07",496.4
"2007_08",478.9
"2007_09",354.6
"2007_10",316.6
"2007_11",466.6
"2007_12",467.4
"2008_01",458
"2008_02",513.8
"2008_03",436.8
"2008_04",483.7
"2008_05",604
"2008_06",461.3
"2008_07",501.9
"2008_08",689.3
"2008_09",620.7
"2008_10",425.2
"2008_11",473
"2008_12",5120.4
"2009_01",1073.6
"2009_02",770.1
"2009_03",780.4
"2009_04",594.7
"2009_05",920.8
"2009_06",650.3
"2009_07",627.2
"2009_08",470.9
"2009_09",700.8
"2009_10",540.8
"2009_11",630.5
"2009_12",1273.3
"2010_01",560.9
"2010_02",789.1
"2010_03",1140.4
"2010_04",786
"2010_05",1248.7
"2010_06",600.3
"2010_07",702.6
"2010_08",610.9
"2010_09",562.8
"2010_10",654.6
"2010_11",848.4
"2010_12",1153.5
"2011_01",585.8
"2011_02",636.4
"2011_03",435.4
"2011_04",510.2
"2011_05",703.3
"2011_06",1287.1
"2011_07",465.1
"2011_08",506.7
"2011_09",562.7
"2011_10",835.3
"2011_11",0
"2011_12",670.8
"2012_01",404.9
"2012_02",823.2
"2012_03",523.8
"2012_04",623.6
"2012_05",208.8
"2012_06",322.6
"2012_07",345
"2012_08",662.2
"2012_09",742.5
"2012_10",691.4
"2012_11",952.5
"2012_12",637
"2013_01",634
"2013_02",599.1
"2013_03",509.8
"2013_04",652.4
"2013_05",527.4
"2013_06",391.9
"2013_07",629.4
"2013_08",446.6
"2013_09",1346.5
"2013_10",724.9
"2013_11",743.7
"2013_12",482.6
"2014_01",536.4
"2014_02",444
"2014_03",407.5
"2014_04",500.9
"2014_05",308.3
"2014_06",395.8
"2014_07",534
"2014_08",447
"2014_09",326.4
"2014_10",386.6
"2014_11",603.8
"2014_12",668.2
"2015_01",193.8
"2015_02",188
