"time","intensity"
"2005_01",3702.8
"2005_02",3818.5
"2005_03",4744.9
"2005_04",4801
"2005_05",5840.9
"2005_06",5799.5
"2005_07",7388.1
"2005_08",4897.1
"2005_09",4689.1
"2005_10",6050.1
"2005_11",5665
"2005_12",4669.2
"2006_01",5076.1
"2006_02",5932.3
"2006_03",6604.9
"2006_04",5712.5
"2006_05",6382
"2006_06",6033.9
"2006_07",6820.9
"2006_08",6008.4
"2006_09",5645.5
"2006_10",5486.2
"2006_11",5525.6
"2006_12",5081.3
"2007_01",6611.2
"2007_02",4510.1
"2007_03",5072.7
"2007_04",3747.2
"2007_05",4853.6
"2007_06",3927.1
"2007_07",4865.5
"2007_08",3896.5
"2007_09",5138.5
"2007_10",4861.4
"2007_11",4740.8
"2007_12",4285.3
"2008_01",4106.7
"2008_02",5362.4
"2008_03",4167.5
"2008_04",5342.2
"2008_05",6273.3
"2008_06",5809
"2008_07",5569.2
"2008_08",7412.6
"2008_09",6142.8
"2008_10",9794.3
"2008_11",11651.8
"2008_12",9696.5
"2009_01",8607.3
"2009_02",7859.3
"2009_03",8579.6
"2009_04",11058.3
"2009_05",8013.7
"2009_06",10840.3
"2009_07",7463.9
"2009_08",6137.5
"2009_09",7068.8
"2009_10",6771.7
"2009_11",6166.1
"2009_12",6306.8
"2010_01",5407.6
"2010_02",6265.2
"2010_03",5749.8
"2010_04",5770.5
"2010_05",6121.6
"2010_06",6539.1
"2010_07",8355.9
"2010_08",8245.4
"2010_09",7044.4
"2010_10",5360.3
"2010_11",6195
"2010_12",6880.7
"2011_01",8293.6
"2011_02",8400.4
"2011_03",8178.7
"2011_04",6039
"2011_05",5528.5
"2011_06",6636.9
"2011_07",7788.6
"2011_08",7706.6
"2011_09",6898.1
"2011_10",7109.6
"2011_11",6873.5
"2011_12",7197.3
"2012_01",7674.7
"2012_02",7703.5
"2012_03",7817.4
"2012_04",7760.7
"2012_05",8694.2
"2012_06",9052.7
"2012_07",9313.50000000001
"2012_08",9872.1
"2012_09",9244
"2012_10",10148.3
"2012_11",7896.9
"2012_12",10935.6
"2013_01",11005.6
"2013_02",10646.3
"2013_03",12492.9
"2013_04",11342.7
"2013_05",12050.2
"2013_06",9865.6
"2013_07",12111.4
"2013_08",12289.3
"2013_09",13655.5
"2013_10",10760.2
"2013_11",10286.4
"2013_12",9877.8
"2014_01",10176
"2014_02",9207.50000000001
"2014_03",9334.2
"2014_04",10716.2
"2014_05",10030.1
"2014_06",10574.3
"2014_07",11808.9
"2014_08",10463.6
"2014_09",9253.4
"2014_10",9077.2
"2014_11",11063.7
"2014_12",11695.9
"2015_01",9503.2
"2015_02",7518.8
