"time","intensity"
"2005_01",2019.4
"2005_02",1160.6
"2005_03",1865.3
"2005_04",1919.2
"2005_05",2254.2
"2005_06",1753.5
"2005_07",1046.1
"2005_08",0
"2005_09",1715.5
"2005_10",2907
"2005_11",2934
"2005_12",1587.8
"2006_01",2486.2
"2006_02",1774
"2006_03",2388.4
"2006_04",1855.3
"2006_05",1393.5
"2006_06",790.4
"2006_07",1481.6
"2006_08",1667
"2006_09",2160.6
"2006_10",2206.5
"2006_11",1453
"2006_12",920.3
"2007_01",2028.3
"2007_02",1346
"2007_03",1831
"2007_04",1553.4
"2007_05",1398.3
"2007_06",1859.6
"2007_07",1273.4
"2007_08",1484.4
"2007_09",1638.7
"2007_10",1379
"2007_11",1455.9
"2007_12",1196.7
"2008_01",1313.7
"2008_02",1842.4
"2008_03",1263
"2008_04",1519.3
"2008_05",1613.1
"2008_06",1899.6
"2008_07",1680.9
"2008_08",1618.2
"2008_09",1572.1
"2008_10",1634
"2008_11",1693.2
"2008_12",1343.8
"2009_01",1097.6
"2009_02",1374.3
"2009_03",1243.2
"2009_04",1420.3
"2009_05",1347.3
"2009_06",1440.3
"2009_07",1778.1
"2009_08",2449.7
"2009_09",1472.9
"2009_10",1597.3
"2009_11",1456.4
"2009_12",1860.6
"2010_01",1470.6
"2010_02",1608.9
"2010_03",2354.2
"2010_04",2009.6
"2010_05",1782.8
"2010_06",1748.8
"2010_07",1532.1
"2010_08",1956.5
"2010_09",2197.6
"2010_10",1647.3
"2010_11",1337.2
"2010_12",1449.2
"2011_01",1534.4
"2011_02",1879.4
"2011_03",1496.8
"2011_04",1736.3
"2011_05",1476.2
"2011_06",1612.1
"2011_07",1458.5
"2011_08",1482.2
"2011_09",1702
"2011_10",1697.7
"2011_11",1559.5
"2011_12",1527.8
"2012_01",1506.7
"2012_02",1622.6
"2012_03",1886.6
"2012_04",1385.6
"2012_05",1340.3
"2012_06",1570.9
"2012_07",1475
"2012_08",1398.7
"2012_09",1742.4
"2012_10",1768
"2012_11",1697.8
"2012_12",1420
"2013_01",1783.4
"2013_02",1532.8
"2013_03",1712.8
"2013_04",1645.3
"2013_05",1744.5
"2013_06",1499.9
"2013_07",1757.7
"2013_08",1722.3
"2013_09",1452.3
"2013_10",1499
"2013_11",1355.1
"2013_12",1297.3
"2014_01",1496.3
"2014_02",1357.9
"2014_03",1219.7
"2014_04",1297.6
"2014_05",1301.1
"2014_06",1510.4
"2014_07",1332.1
"2014_08",1778.6
"2014_09",1566.2
"2014_10",1328.4
"2014_11",1466.2
"2014_12",1525.8
"2015_01",1665.9
"2015_02",1423.6
