"time","intensity"
"2005_01",836.3
"2005_02",733.8
"2005_03",752.3
"2005_04",1074.9
"2005_05",793.5
"2005_06",708.1
"2005_07",795.3
"2005_08",1286.2
"2005_09",674.5
"2005_10",732.8
"2005_11",950.9
"2005_12",863.8
"2006_01",876.5
"2006_02",701.5
"2006_03",1025.7
"2006_04",670.8
"2006_05",1355.4
"2006_06",721.3
"2006_07",718.7
"2006_08",826.2
"2006_09",784.4
"2006_10",966.9
"2006_11",625.6
"2006_12",538.3
"2007_01",887.7
"2007_02",1010.9
"2007_03",968.1
"2007_04",652.6
"2007_05",1112.9
"2007_06",662
"2007_07",1029.8
"2007_08",1108.1
"2007_09",902
"2007_10",1049
"2007_11",1074.9
"2007_12",1280.5
"2008_01",869.7
"2008_02",747.4
"2008_03",648.9
"2008_04",906
"2008_05",1130.2
"2008_06",1314.5
"2008_07",1221.9
"2008_08",835.1
"2008_09",946.3
"2008_10",980.5
"2008_11",911.2
"2008_12",1142.6
"2009_01",1257.7
"2009_02",867.7
"2009_03",928.7
"2009_04",715.1
"2009_05",1072.4
"2009_06",6378.5
"2009_07",2323.1
"2009_08",1664
"2009_09",1538.7
"2009_10",1540.5
"2009_11",1747.8
"2009_12",6990.9
"2010_01",2283.5
"2010_02",1819.9
"2010_03",1148.3
"2010_04",941.1
"2010_05",938.7
"2010_06",1499.9
"2010_07",1135.3
"2010_08",913.7
"2010_09",1362.7
"2010_10",1587.8
"2010_11",777.4
"2010_12",1691.5
"2011_01",1272.7
"2011_02",2536.4
"2011_03",1383.3
"2011_04",1162.7
"2011_05",918.6
"2011_06",1247.1
"2011_07",1299.7
"2011_08",1012.5
"2011_09",1134.7
"2011_10",763.3
"2011_11",914.1
"2011_12",1059
"2012_01",1463
"2012_02",908.4
"2012_03",812
"2012_04",792.5
"2012_05",651.5
"2012_06",810.9
"2012_07",652.2
"2012_08",494.3
"2012_09",726.4
"2012_10",1262.2
"2012_11",825
"2012_12",768.3
"2013_01",770.7
"2013_02",732.5
"2013_03",631.7
"2013_04",584.7
"2013_05",540.4
"2013_06",0
"2013_07",631.5
"2013_08",559.1
"2013_09",210.6
"2013_10",1424.7
"2013_11",1391.7
"2013_12",624.1
"2014_01",737.5
"2014_02",597.4
"2014_03",710.7
"2014_04",896
"2014_05",1087.7
"2014_06",739.9
"2014_07",763.6
"2014_08",669.9
"2014_09",739.3
"2014_10",1183
"2014_11",880.9
"2014_12",843.7
"2015_01",701.8
"2015_02",653.9
