"time","intensity"
"2005_01",6094.9
"2005_02",4565.9
"2005_03",4589.7
"2005_04",3973
"2005_05",6817
"2005_06",5143.8
"2005_07",5994.1
"2005_08",5531.3
"2005_09",5532.1
"2005_10",4482.4
"2005_11",4542.7
"2005_12",4264
"2006_01",4482
"2006_02",4517.8
"2006_03",4787.5
"2006_04",3758.2
"2006_05",4094.8
"2006_06",4977.8
"2006_07",6042.4
"2006_08",6651.3
"2006_09",4202.5
"2006_10",5141.9
"2006_11",7191.6
"2006_12",5214.5
"2007_01",5280
"2007_02",4066.3
"2007_03",4440.1
"2007_04",3685.4
"2007_05",3294.4
"2007_06",3429.3
"2007_07",1625.9
"2007_08",3012.2
"2007_09",2642.8
"2007_10",1596.2
"2007_11",1996.2
"2007_12",1845.4
"2008_01",2987.5
"2008_02",2512.5
"2008_03",5382.3
"2008_04",3151.5
"2008_05",1665.5
"2008_06",1525.3
"2008_07",1688.6
"2008_08",2314
"2008_09",1466.3
"2008_10",1192.9
"2008_11",1079.1
"2008_12",1210.1
"2009_01",1459.7
"2009_02",973.7
"2009_03",1907.2
"2009_04",1619.9
"2009_05",1381.1
"2009_06",947.4
"2009_07",1206.1
"2009_08",1151.4
"2009_09",1455.7
"2009_10",1295.1
"2009_11",846.1
"2009_12",1171.4
"2010_01",1442.7
"2010_02",2032.5
"2010_03",1774
"2010_04",1296.9
"2010_05",1525.1
"2010_06",2697.6
"2010_07",2020.1
"2010_08",1861
"2010_09",1622.4
"2010_10",1714.5
"2010_11",1833
"2010_12",1809
"2011_01",1733.2
"2011_02",2071.9
"2011_03",1388.3
"2011_04",1669.9
"2011_05",1426.5
"2011_06",1099.9
"2011_07",933.6
"2011_08",972.3
"2011_09",1063
"2011_10",1483.3
"2011_11",713.6
"2011_12",1268.9
"2012_01",2029.6
"2012_02",831.8
"2012_03",973
"2012_04",313.8
"2012_05",281.2
"2012_06",818.4
"2012_07",762.7
"2012_08",1908.1
"2012_09",1948.4
"2012_10",848.5
"2012_11",532.1
"2012_12",687.6
"2013_01",1823.3
"2013_02",1213.3
"2013_03",1413.2
"2013_04",2451.7
"2013_05",2537.5
"2013_06",875.3
"2013_07",3368.2
"2013_08",2738.9
"2013_09",2910
"2013_10",3087.8
"2013_11",2289.9
"2013_12",4225.4
"2014_01",5143.9
"2014_02",2883.9
"2014_03",3191
"2014_04",4068.7
"2014_05",2681
"2014_06",7067.8
"2014_07",3364.8
"2014_08",5625.3
"2014_09",3391.5
"2014_10",3581
"2014_11",2993.8
"2014_12",2806
"2015_01",3558.7
"2015_02",3327.4
