"time","intensity"
"2005_01",1946
"2005_02",1796.8
"2005_03",2297.1
"2005_04",1756.9
"2005_05",1688
"2005_06",1497.6
"2005_07",2679.7
"2005_08",1355.4
"2005_09",1539
"2005_10",1712.2
"2005_11",1668.1
"2005_12",1443.8
"2006_01",1554.4
"2006_02",1889.9
"2006_03",1645.8
"2006_04",1460.2
"2006_05",1659
"2006_06",1611.9
"2006_07",1543.5
"2006_08",1572.6
"2006_09",1585.1
"2006_10",1744.6
"2006_11",1554.1
"2006_12",1698.4
"2007_01",1995.5
"2007_02",1689.3
"2007_03",1670.1
"2007_04",1862.3
"2007_05",2091.7
"2007_06",2748.6
"2007_07",1993.5
"2007_08",1541.4
"2007_09",1533.2
"2007_10",1901.8
"2007_11",1709.1
"2007_12",2465.9
"2008_01",5981.1
"2008_02",1429.1
"2008_03",0
"2008_04",1585.8
"2008_05",1764.6
"2008_06",1576.3
"2008_07",1651.9
"2008_08",1393.6
"2008_09",1551.4
"2008_10",1660.6
"2008_11",1398.6
"2008_12",1249.5
"2009_01",1234.5
"2009_02",1233.1
"2009_03",1289.1
"2009_04",1304
"2009_05",1275.1
"2009_06",1460.2
"2009_07",1303.4
"2009_08",1188.3
"2009_09",1549.4
"2009_10",1499.3
"2009_11",1501.8
"2009_12",1468.8
"2010_01",1566.7
"2010_02",1400
"2010_03",1300.5
"2010_04",1231.1
"2010_05",1247.5
"2010_06",1641.5
"2010_07",1437.3
"2010_08",1384.5
"2010_09",1365.5
"2010_10",1336.7
"2010_11",1521.7
"2010_12",1446.3
"2011_01",1306.7
"2011_02",1483.7
"2011_03",1637.3
"2011_04",1650.7
"2011_05",1761.2
"2011_06",1687.1
"2011_07",1808.6
"2011_08",1590.2
"2011_09",1673.6
"2011_10",1803.6
"2011_11",1780.7
"2011_12",1540.8
"2012_01",1444.1
"2012_02",1368.6
"2012_03",1633.3
"2012_04",1464.5
"2012_05",1727.3
"2012_06",1780.9
"2012_07",1920
"2012_08",1923.3
"2012_09",1934.5
"2012_10",2076.4
"2012_11",2324
"2012_12",1265.9
"2013_01",1480.8
"2013_02",1545.2
"2013_03",1914.2
"2013_04",1781
"2013_05",2386
"2013_06",1873.8
"2013_07",1775.7
"2013_08",1790.8
"2013_09",3498.2
"2013_10",2391.6
"2013_11",2027.3
"2013_12",1576.9
"2014_01",1936.5
"2014_02",2007.3
"2014_03",2039.8
"2014_04",2133.6
"2014_05",1944.7
"2014_06",2878.3
"2014_07",3125.5
"2014_08",1897.8
"2014_09",1835.5
"2014_10",2109.1
"2014_11",2966.7
"2014_12",2295
"2015_01",1985.9
"2015_02",2005.4
