"time","intensity"
"2005_01",78
"2005_02",88
"2005_03",64
"2005_04",65
"2005_05",71
"2005_06",24.3
"2005_07",69
"2005_08",53.6
"2005_09",8.1
"2005_10",66.6
"2005_11",97
"2005_12",84
"2006_01",63.6
"2006_02",251.2
"2006_03",14.8
"2006_04",67.6
"2006_05",56
"2006_06",64.6
"2006_07",71.1
"2006_08",81.9
"2006_09",54
"2006_10",109
"2006_11",68
"2006_12",91.1
"2007_01",85
"2007_02",49
"2007_03",74
"2007_04",47
"2007_05",149.2
"2007_06",105.8
"2007_07",110
"2007_08",89
"2007_09",55.5
"2007_10",58
"2007_11",62.9
"2007_12",40
"2008_01",86
"2008_02",60.4
"2008_03",60.2
"2008_04",37.4
"2008_05",71
"2008_06",99
"2008_07",86.4
"2008_08",24.3
"2008_09",44.2
"2008_10",53
"2008_11",118
"2008_12",91.4
"2009_01",85
"2009_02",50.5
"2009_03",60.6
"2009_04",65.8
"2009_05",63.6
"2009_06",67
"2009_07",69
"2009_08",61.6
"2009_09",50
"2009_10",44.4
"2009_11",72
"2009_12",71.4
"2010_01",59.7
"2010_02",89.6
"2010_03",0
"2010_04",62.2
"2010_05",47.8
"2010_06",84
"2010_07",78.6
"2010_08",51.3
"2010_09",34.6
"2010_10",39
"2010_11",106
"2010_12",70
"2011_01",71
"2011_02",4870.9
"2011_03",4978.9
"2011_04",2522.5
"2011_05",1051.5
"2011_06",872.2
"2011_07",1267.2
"2011_08",2121.6
"2011_09",1068.2
"2011_10",1138
"2011_11",724
"2011_12",588.8
"2012_01",722.2
"2012_02",311.6
"2012_03",284.4
"2012_04",301.5
"2012_05",316.4
"2012_06",525.3
"2012_07",286.2
"2012_08",337.1
"2012_09",868.5
"2012_10",1142.9
"2012_11",312.2
"2012_12",438
"2013_01",369.8
"2013_02",90
"2013_03",288.9
"2013_04",541.4
"2013_05",536.3
"2013_06",1024.3
"2013_07",436.8
"2013_08",204.6
"2013_09",212.7
"2013_10",971.6
"2013_11",1959.6
"2013_12",1054.1
"2014_01",1187.5
"2014_02",683.1
"2014_03",1084.7
"2014_04",426.8
"2014_05",2238.4
"2014_06",1211.6
"2014_07",1632.1
"2014_08",795.1
"2014_09",801.4
"2014_10",1526.2
"2014_11",754.3
"2014_12",1561.1
"2015_01",946.8
"2015_02",863
