"time","intensity"
"2005_01",136.8
"2005_02",142.8
"2005_03",139.8
"2005_04",155.8
"2005_05",140
"2005_06",129.8
"2005_07",134.4
"2005_08",130.8
"2005_09",0
"2005_10",0
"2005_11",135.8
"2005_12",0
"2006_01",136.8
"2006_02",142.8
"2006_03",137.8
"2006_04",0
"2006_05",324.8
"2006_06",143
"2006_07",121.8
"2006_08",0
"2006_09",128.8
"2006_10",137.8
"2006_11",142.2
"2006_12",137.8
"2007_01",0
"2007_02",89
"2007_03",125.4
"2007_04",107.7
"2007_05",153
"2007_06",120.8
"2007_07",131.4
"2007_08",185
"2007_09",172
"2007_10",0
"2007_11",133.8
"2007_12",160.8
"2008_01",0
"2008_02",134.4
"2008_03",252.4
"2008_04",101.8
"2008_05",323.4
"2008_06",189.8
"2008_07",128.8
"2008_08",115.8
"2008_09",132.8
"2008_10",132.8
"2008_11",131.8
"2008_12",254.8
"2009_01",257.8
"2009_02",157.8
"2009_03",159.8
"2009_04",147.8
"2009_05",142.8
"2009_06",165.8
"2009_07",195.8
"2009_08",132.3
"2009_09",137.8
"2009_10",130.8
"2009_11",141.8
"2009_12",142.8
"2010_01",171.8
"2010_02",145
"2010_03",135.8
"2010_04",0
"2010_05",0
"2010_06",138.6
"2010_07",133.1
"2010_08",0
"2010_09",134.8
"2010_10",136.4
"2010_11",137.4
"2010_12",139.8
"2011_01",156.8
"2011_02",141.6
"2011_03",151.3
"2011_04",142.8
"2011_05",146.8
"2011_06",139.8
"2011_07",136.8
"2011_08",135.8
"2011_09",142.8
"2011_10",138.8
"2011_11",194.8
"2011_12",195.2
"2012_01",386.4
"2012_02",455.2
"2012_03",1010.9
"2012_04",540.2
"2012_05",461.2
"2012_06",460.1
"2012_07",346.3
"2012_08",208.7
"2012_09",257.9
"2012_10",293.9
"2012_11",316.8
"2012_12",402.8
"2013_01",859.1
"2013_02",984.6
"2013_03",485
"2013_04",316.4
"2013_05",133.4
"2013_06",176.9
"2013_07",241.5
"2013_08",0
"2013_09",568.4
"2013_10",294.9
"2013_11",643.3
"2013_12",221.2
"2014_01",136.9
"2014_02",196.2
"2014_03",176.4
"2014_04",201.4
"2014_05",1804.9
"2014_06",242.4
"2014_07",148.5
"2014_08",112
"2014_09",147.5
"2014_10",217.8
"2014_11",158
"2014_12",121.2
"2015_01",496
"2015_02",108.8
