"time","intensity"
"2005_01",690.8
"2005_02",630.7
"2005_03",708.5
"2005_04",1007.2
"2005_05",839.6
"2005_06",736.9
"2005_07",464.7
"2005_08",670.7
"2005_09",710.7
"2005_10",663.1
"2005_11",712.6
"2005_12",666
"2006_01",784.2
"2006_02",775.4
"2006_03",854.3
"2006_04",744
"2006_05",1036
"2006_06",746.3
"2006_07",631.9
"2006_08",710.3
"2006_09",744.7
"2006_10",945.5
"2006_11",688.3
"2006_12",826.3
"2007_01",495.6
"2007_02",749.7
"2007_03",922.3
"2007_04",820.1
"2007_05",924.5
"2007_06",694
"2007_07",643.3
"2007_08",1171.5
"2007_09",4643.3
"2007_10",1399.1
"2007_11",423.7
"2007_12",723.3
"2008_01",527.7
"2008_02",804.9
"2008_03",664.4
"2008_04",826.2
"2008_05",275.9
"2008_06",794.2
"2008_07",642.8
"2008_08",710.2
"2008_09",755.7
"2008_10",734.7
"2008_11",1012.3
"2008_12",714.8
"2009_01",713.5
"2009_02",605.2
"2009_03",745.8
"2009_04",670.1
"2009_05",845.5
"2009_06",911.8
"2009_07",762.2
"2009_08",1132.2
"2009_09",732.5
"2009_10",629.9
"2009_11",582.7
"2009_12",670.2
"2010_01",678.5
"2010_02",744.7
"2010_03",798
"2010_04",780.1
"2010_05",776.6
"2010_06",540.4
"2010_07",723.7
"2010_08",718.6
"2010_09",857.7
"2010_10",693.7
"2010_11",1468.8
"2010_12",768.1
"2011_01",821.7
"2011_02",708.1
"2011_03",635.1
"2011_04",708.3
"2011_05",570.5
"2011_06",960.7
"2011_07",621.9
"2011_08",524.2
"2011_09",639.5
"2011_10",313.9
"2011_11",546.7
"2011_12",457.3
"2012_01",0
"2012_02",579.4
"2012_03",638.9
"2012_04",376.9
"2012_05",709.6
"2012_06",1316.2
"2012_07",631.2
"2012_08",657.2
"2012_09",471.7
"2012_10",866.6
"2012_11",727.9
"2012_12",749.3
"2013_01",953.9
"2013_02",487.5
"2013_03",905.2
"2013_04",942.3
"2013_05",798.7
"2013_06",743.1
"2013_07",667.2
"2013_08",619.6
"2013_09",681.9
"2013_10",731.9
"2013_11",524.6
"2013_12",405.1
"2014_01",786.8
"2014_02",724.6
"2014_03",634
"2014_04",842
"2014_05",682.6
"2014_06",682.8
"2014_07",989.9
"2014_08",706.5
"2014_09",622.3
"2014_10",722.3
"2014_11",763.5
"2014_12",971.8
"2015_01",903.5
"2015_02",955.9
