"time","intensity"
"2005_01",289.7
"2005_02",385.1
"2005_03",594.8
"2005_04",161.3
"2005_05",646.3
"2005_06",659.3
"2005_07",357.7
"2005_08",364.3
"2005_09",697.9
"2005_10",541.3
"2005_11",769.1
"2005_12",761.6
"2006_01",1133.5
"2006_02",1359.5
"2006_03",1078.1
"2006_04",578.7
"2006_05",228.7
"2006_06",316.1
"2006_07",773.5
"2006_08",1190.3
"2006_09",306.8
"2006_10",899.2
"2006_11",500.6
"2006_12",869.3
"2007_01",1099.6
"2007_02",745.7
"2007_03",896.2
"2007_04",1579.4
"2007_05",911.4
"2007_06",722.4
"2007_07",1466.3
"2007_08",1436
"2007_09",1168.7
"2007_10",1000.7
"2007_11",1035
"2007_12",995.4
"2008_01",332.9
"2008_02",1392.8
"2008_03",1053.3
"2008_04",790.4
"2008_05",481.7
"2008_06",973.6
"2008_07",1304.8
"2008_08",1310.4
"2008_09",1382.2
"2008_10",642.5
"2008_11",526.8
"2008_12",1013.3
"2009_01",830.4
"2009_02",814.6
"2009_03",1054.8
"2009_04",1387.5
"2009_05",1509.7
"2009_06",594.7
"2009_07",2150.1
"2009_08",1100.4
"2009_09",911.6
"2009_10",139.6
"2009_11",475.1
"2009_12",837.5
"2010_01",1409.1
"2010_02",12.9
"2010_03",1648.9
"2010_04",967.1
"2010_05",362.8
"2010_06",773.4
"2010_07",633.8
"2010_08",530.7
"2010_09",707.1
"2010_10",843.1
"2010_11",834.8
"2010_12",984.6
"2011_01",1622
"2011_02",935.6
"2011_03",688.6
"2011_04",581.9
"2011_05",697.6
"2011_06",1394.2
"2011_07",1541.8
"2011_08",1289.9
"2011_09",1291.8
"2011_10",1624.7
"2011_11",2138.4
"2011_12",2267.6
"2012_01",4864.9
"2012_02",2950.8
"2012_03",3277.2
"2012_04",2658.1
"2012_05",2531.1
"2012_06",2681.9
"2012_07",1310.6
"2012_08",2247.5
"2012_09",1340.4
"2012_10",2632.3
"2012_11",2373.7
"2012_12",1964.6
"2013_01",2098.8
"2013_02",2557
"2013_03",1838.2
"2013_04",2480.1
"2013_05",3254.5
"2013_06",2171.5
"2013_07",2083.8
"2013_08",2144.3
"2013_09",3237.3
"2013_10",2397.9
"2013_11",1636.3
"2013_12",2096.4
"2014_01",2184.8
"2014_02",3521.6
"2014_03",2591.8
"2014_04",4764.9
"2014_05",6933.30000000001
"2014_06",4702.9
"2014_07",4966.8
"2014_08",1447.7
"2014_09",3102.6
"2014_10",1291.5
"2014_11",4581.8
"2014_12",3163.3
"2015_01",3431.8
"2015_02",4807.7
