"time","intensity"
"2005_01",1350.3
"2005_02",388.9
"2005_03",1281.4
"2005_04",906.8
"2005_05",1092.4
"2005_06",565.4
"2005_07",1409.1
"2005_08",808.2
"2005_09",1283.5
"2005_10",201.3
"2005_11",184.4
"2005_12",846
"2006_01",1361.7
"2006_02",2602.1
"2006_03",1989.4
"2006_04",1964
"2006_05",1145.7
"2006_06",1666.5
"2006_07",985.4
"2006_08",1023
"2006_09",650.4
"2006_10",823.2
"2006_11",1192.9
"2006_12",511.3
"2007_01",1047.2
"2007_02",1519.4
"2007_03",2390.5
"2007_04",1361.2
"2007_05",1898.8
"2007_06",962.1
"2007_07",5851.9
"2007_08",2015.9
"2007_09",3077.6
"2007_10",3020.6
"2007_11",3137.4
"2007_12",3421.2
"2008_01",3988.3
"2008_02",2149.4
"2008_03",600.2
"2008_04",292.1
"2008_05",0
"2008_06",1385.2
"2008_07",2173.7
"2008_08",2898.3
"2008_09",3250.9
"2008_10",3523
"2008_11",3145.6
"2008_12",1751.3
"2009_01",2163.9
"2009_02",2449.4
"2009_03",3340.8
"2009_04",2581.3
"2009_05",4546.8
"2009_06",3643.9
"2009_07",2427.7
"2009_08",2932.9
"2009_09",2168.7
"2009_10",5067
"2009_11",3047.4
"2009_12",3381.8
"2010_01",1668.7
"2010_02",1703.6
"2010_03",2591.3
"2010_04",2625.2
"2010_05",2700.2
"2010_06",2153.8
"2010_07",2330
"2010_08",1252.2
"2010_09",1437
"2010_10",1977.5
"2010_11",1744.9
"2010_12",1554.4
"2011_01",2490.4
"2011_02",1894.8
"2011_03",2148.5
"2011_04",1844.3
"2011_05",1840.6
"2011_06",2050.9
"2011_07",1426.4
"2011_08",1691.6
"2011_09",2076.8
"2011_10",1663
"2011_11",1119
"2011_12",690.8
"2012_01",1763.1
"2012_02",1827.1
"2012_03",1726.8
"2012_04",1390.2
"2012_05",1252.1
"2012_06",1243.3
"2012_07",1590.4
"2012_08",1871.4
"2012_09",1749.3
"2012_10",1335
"2012_11",1607.7
"2012_12",2364.9
"2013_01",1799.5
"2013_02",1496
"2013_03",1635.8
"2013_04",2000.9
"2013_05",2046.9
"2013_06",1507.6
"2013_07",1574.2
"2013_08",1417.2
"2013_09",1138.6
"2013_10",823.5
"2013_11",792.4
"2013_12",1117.7
"2014_01",1744.1
"2014_02",1590.1
"2014_03",1336.9
"2014_04",1454.2
"2014_05",1513.1
"2014_06",2928.1
"2014_07",1364.9
"2014_08",3262.2
"2014_09",2703.3
"2014_10",1220.2
"2014_11",2294.3
"2014_12",3827.4
"2015_01",1681.3
"2015_02",1758
