"time","intensity"
"2005_01",140.1
"2005_02",178.7
"2005_03",101.5
"2005_04",133.4
"2005_05",73.7
"2005_06",126.1
"2005_07",97.5
"2005_08",90.8
"2005_09",101.5
"2005_10",82.1
"2005_11",107.5
"2005_12",78.7
"2006_01",80.2
"2006_02",127.1
"2006_03",75.9
"2006_04",112.5
"2006_05",99.5
"2006_06",63
"2006_07",99.5
"2006_08",127.2
"2006_09",114.8
"2006_10",116.5
"2006_11",95.5
"2006_12",240.5
"2007_01",80.5
"2007_02",79.1
"2007_03",149.9
"2007_04",241.9
"2007_05",61.1
"2007_06",65.4
"2007_07",100.7
"2007_08",75.9
"2007_09",72
"2007_10",50.6
"2007_11",77.5
"2007_12",62.9
"2008_01",49.8
"2008_02",106.1
"2008_03",90.5
"2008_04",56.8
"2008_05",45.9
"2008_06",66.5
"2008_07",66.1
"2008_08",61.4
"2008_09",111.2
"2008_10",117.5
"2008_11",91.3
"2008_12",147.5
"2009_01",107.9
"2009_02",79.2
"2009_03",61.5
"2009_04",55.6
"2009_05",71.1
"2009_06",107.1
"2009_07",73.7
"2009_08",94.5
"2009_09",75.1
"2009_10",134.9
"2009_11",141.5
"2009_12",106.3
"2010_01",86.2
"2010_02",70.5
"2010_03",97.9
"2010_04",277.8
"2010_05",83.6
"2010_06",109.5
"2010_07",73.5
"2010_08",61.2
"2010_09",113.1
"2010_10",79.5
"2010_11",62.6
"2010_12",73.5
"2011_01",99.5
"2011_02",75.8
"2011_03",71.5
"2011_04",68.5
"2011_05",60.1
"2011_06",80.5
"2011_07",75.5
"2011_08",77.5
"2011_09",102.7
"2011_10",130.8
"2011_11",108
"2011_12",93
"2012_01",85
"2012_02",84.5
"2012_03",71.1
"2012_04",109.5
"2012_05",65.5
"2012_06",983.2
"2012_07",91.2
"2012_08",112.5
"2012_09",111.5
"2012_10",93.5
"2012_11",90.5
"2012_12",128.5
"2013_01",89.3
"2013_02",97
"2013_03",105.5
"2013_04",0
"2013_05",87.3
"2013_06",114.2
"2013_07",82.1
"2013_08",307.5
"2013_09",66.5
"2013_10",118
"2013_11",85.4
"2013_12",92.5
"2014_01",89
"2014_02",94
"2014_03",74.5
"2014_04",176.8
"2014_05",95.7
"2014_06",90.5
"2014_07",74.3
"2014_08",107
"2014_09",205
"2014_10",246.5
"2014_11",98.5
"2014_12",94.5
"2015_01",142.5
"2015_02",95.5
