"time","intensity"
"2005_01",1981.7
"2005_02",376.7
"2005_03",363.1
"2005_04",278.9
"2005_05",404.1
"2005_06",263.2
"2005_07",443.5
"2005_08",456
"2005_09",300.4
"2005_10",278.9
"2005_11",489.6
"2005_12",818.9
"2006_01",416.6
"2006_02",461.5
"2006_03",235.4
"2006_04",237
"2006_05",257.6
"2006_06",0
"2006_07",380.6
"2006_08",271.8
"2006_09",351.9
"2006_10",255.5
"2006_11",287.6
"2006_12",517
"2007_01",286.3
"2007_02",182.1
"2007_03",319.5
"2007_04",557.2
"2007_05",525.4
"2007_06",267.4
"2007_07",521.1
"2007_08",137.9
"2007_09",394.1
"2007_10",295.9
"2007_11",677.8
"2007_12",871.5
"2008_01",455.3
"2008_02",411.2
"2008_03",434
"2008_04",340.8
"2008_05",280.2
"2008_06",436.2
"2008_07",285.2
"2008_08",327.6
"2008_09",284
"2008_10",1004.8
"2008_11",472.9
"2008_12",424.1
"2009_01",286.8
"2009_02",278.5
"2009_03",320.1
"2009_04",716.2
"2009_05",294.8
"2009_06",1270.5
"2009_07",364.3
"2009_08",491.5
"2009_09",642.7
"2009_10",285.1
"2009_11",626.6
"2009_12",394.8
"2010_01",236.6
"2010_02",204.8
"2010_03",228
"2010_04",599.2
"2010_05",307.6
"2010_06",361.8
"2010_07",312
"2010_08",391
"2010_09",363.6
"2010_10",272.5
"2010_11",262.1
"2010_12",377.3
"2011_01",239.1
"2011_02",217.7
"2011_03",271.3
"2011_04",223.2
"2011_05",197.5
"2011_06",393
"2011_07",239
"2011_08",165.5
"2011_09",283.4
"2011_10",195.8
"2011_11",478.7
"2011_12",325.1
"2012_01",316.7
"2012_02",321.9
"2012_03",522.7
"2012_04",802.3
"2012_05",584.1
"2012_06",234
"2012_07",685.1
"2012_08",377.3
"2012_09",306.6
"2012_10",410.3
"2012_11",220.8
"2012_12",213.3
"2013_01",182.1
"2013_02",249.5
"2013_03",245.9
"2013_04",279
"2013_05",249.9
"2013_06",256.7
"2013_07",437.7
"2013_08",478.6
"2013_09",184.7
"2013_10",214.4
"2013_11",238
"2013_12",237.5
"2014_01",248.4
"2014_02",193.8
"2014_03",194.2
"2014_04",271.7
"2014_05",389.6
"2014_06",298.9
"2014_07",253.5
"2014_08",230.4
"2014_09",281.9
"2014_10",410.3
"2014_11",277.5
"2014_12",226.7
"2015_01",464.5
"2015_02",337
