"time","intensity"
"2005_01",0
"2005_02",1302.4
"2005_03",1625.9
"2005_04",1643
"2005_05",1905.4
"2005_06",1570.4
"2005_07",1211.1
"2005_08",1214.9
"2005_09",1481.3
"2005_10",1979.6
"2005_11",1509.7
"2005_12",1686.5
"2006_01",1707.4
"2006_02",1537.8
"2006_03",1842.5
"2006_04",1975.1
"2006_05",571.7
"2006_06",1201.4
"2006_07",1638.8
"2006_08",1697.4
"2006_09",1942.8
"2006_10",1948.3
"2006_11",2042.6
"2006_12",2955.6
"2007_01",1752.7
"2007_02",1661.2
"2007_03",1878.6
"2007_04",1956.4
"2007_05",1619.3
"2007_06",1509.1
"2007_07",1430.1
"2007_08",1771.5
"2007_09",2008.4
"2007_10",1695.9
"2007_11",1698.7
"2007_12",1511
"2008_01",2021.7
"2008_02",1833.2
"2008_03",1973.4
"2008_04",1805.7
"2008_05",3330.4
"2008_06",1428
"2008_07",2037.3
"2008_08",1898.3
"2008_09",1976.8
"2008_10",1903.1
"2008_11",1872.8
"2008_12",1809.8
"2009_01",1899.8
"2009_02",1542.6
"2009_03",1867.6
"2009_04",1846.7
"2009_05",2098.8
"2009_06",1744.2
"2009_07",1423.6
"2009_08",1645.4
"2009_09",1831
"2009_10",1707.7
"2009_11",1809.2
"2009_12",2074.2
"2010_01",1742.9
"2010_02",1144.7
"2010_03",1843.5
"2010_04",1815.9
"2010_05",2267.6
"2010_06",1794.5
"2010_07",1752.7
"2010_08",1670.8
"2010_09",1672.2
"2010_10",1674.8
"2010_11",2130
"2010_12",2278.4
"2011_01",2590.1
"2011_02",2074.1
"2011_03",2335.5
"2011_04",2218.6
"2011_05",1734.7
"2011_06",2271.3
"2011_07",1594.3
"2011_08",1704
"2011_09",2248.3
"2011_10",1826.8
"2011_11",1836.6
"2011_12",2623.2
"2012_01",1993.7
"2012_02",1880.9
"2012_03",2198.7
"2012_04",2028
"2012_05",1780.4
"2012_06",2710.1
"2012_07",2854
"2012_08",2732.4
"2012_09",2136.3
"2012_10",2117.8
"2012_11",2256.2
"2012_12",2451.3
"2013_01",2114.9
"2013_02",2160.2
"2013_03",2190.8
"2013_04",2076.2
"2013_05",2446.9
"2013_06",2147.7
"2013_07",2318.9
"2013_08",2037.9
"2013_09",2837.4
"2013_10",2241.4
"2013_11",2195.7
"2013_12",2006.3
"2014_01",2173.7
"2014_02",1974.2
"2014_03",2729.1
"2014_04",1880.5
"2014_05",2510.2
"2014_06",2209.4
"2014_07",2155.6
"2014_08",1986.7
"2014_09",2067.8
"2014_10",2083
"2014_11",2575.9
"2014_12",2093.1
"2015_01",2000
"2015_02",2031.4
