"time","intensity"
"2005_01",676.6
"2005_02",326
"2005_03",926.4
"2005_04",794.7
"2005_05",1312.8
"2005_06",1047.7
"2005_07",2355.6
"2005_08",1262.4
"2005_09",2285.6
"2005_10",1048.8
"2005_11",1702.2
"2005_12",779.7
"2006_01",67.5
"2006_02",1185.1
"2006_03",2372.4
"2006_04",3652.1
"2006_05",2480.2
"2006_06",2210.7
"2006_07",1748.9
"2006_08",977.1
"2006_09",1977.3
"2006_10",501.9
"2006_11",538.5
"2006_12",418
"2007_01",521
"2007_02",31.3
"2007_03",434
"2007_04",1536.7
"2007_05",764.2
"2007_06",1626.4
"2007_07",1059.7
"2007_08",243.2
"2007_09",991.3
"2007_10",3597.8
"2007_11",1742.5
"2007_12",2512.9
"2008_01",647.2
"2008_02",2192
"2008_03",1220.1
"2008_04",1338.7
"2008_05",1930.7
"2008_06",817.6
"2008_07",2347.3
"2008_08",1203.5
"2008_09",752.3
"2008_10",2811.2
"2008_11",904.4
"2008_12",701.1
"2009_01",575.4
"2009_02",401.4
"2009_03",347.1
"2009_04",1293.7
"2009_05",1492.6
"2009_06",294.7
"2009_07",179.8
"2009_08",229.2
"2009_09",276.6
"2009_10",474.8
"2009_11",183.4
"2009_12",1182.8
"2010_01",143.5
"2010_02",544
"2010_03",401
"2010_04",541.5
"2010_05",1016.8
"2010_06",1791.1
"2010_07",1711.8
"2010_08",545.4
"2010_09",301.9
"2010_10",469.4
"2010_11",326.3
"2010_12",184.8
"2011_01",162.2
"2011_02",268.4
"2011_03",277
"2011_04",787.8
"2011_05",628.6
"2011_06",566.5
"2011_07",969.6
"2011_08",1490.9
"2011_09",1453.5
"2011_10",2464.6
"2011_11",928.8
"2011_12",731.2
"2012_01",445.3
"2012_02",465.8
"2012_03",744.3
"2012_04",464.2
"2012_05",789.9
"2012_06",950.4
"2012_07",586.8
"2012_08",2037.1
"2012_09",2002.3
"2012_10",1316.2
"2012_11",760.4
"2012_12",308
"2013_01",0
"2013_02",232.7
"2013_03",335.2
"2013_04",326.6
"2013_05",591
"2013_06",7938.5
"2013_07",1163.2
"2013_08",665.3
"2013_09",1079.9
"2013_10",329.6
"2013_11",463.9
"2013_12",1502.5
"2014_01",561.1
"2014_02",1060.5
"2014_03",1958.7
"2014_04",564.3
"2014_05",2728.9
"2014_06",1518
"2014_07",455.3
"2014_08",477.3
"2014_09",416
"2014_10",1658.5
"2014_11",261
"2014_12",1059.3
"2015_01",1307.5
"2015_02",497.3
