"time","intensity"
"2005_01",46.1
"2005_02",36.7
"2005_03",28.2
"2005_04",26.7
"2005_05",35.7
"2005_06",38.3
"2005_07",35.3
"2005_08",34.7
"2005_09",49.5
"2005_10",34.7
"2005_11",29.3
"2005_12",20.9
"2006_01",28.7
"2006_02",34.7
"2006_03",29.3
"2006_04",53.9
"2006_05",36.3
"2006_06",21.5
"2006_07",34.7
"2006_08",34.7
"2006_09",26.7
"2006_10",36.7
"2006_11",28.9
"2006_12",27.3
"2007_01",28.7
"2007_02",46.2
"2007_03",62.5
"2007_04",28.7
"2007_05",16.5
"2007_06",25.7
"2007_07",33.4
"2007_08",38.3
"2007_09",26.5
"2007_10",8.5
"2007_11",44.7
"2007_12",23.2
"2008_01",34.3
"2008_02",9.1
"2008_03",13.3
"2008_04",29.2
"2008_05",81.2
"2008_06",31.3
"2008_07",41.7
"2008_08",41.3
"2008_09",20.5
"2008_10",4.2
"2008_11",22.2
"2008_12",34.7
"2009_01",27.3
"2009_02",27.7
"2009_03",48.7
"2009_04",60.7
"2009_05",36.2
"2009_06",31.7
"2009_07",34.7
"2009_08",34.7
"2009_09",31.3
"2009_10",30.7
"2009_11",39.7
"2009_12",36.7
"2010_01",43.8
"2010_02",34.7
"2010_03",28.3
"2010_04",28.3
"2010_05",25.3
"2010_06",38.5
"2010_07",38.8
"2010_08",27.4
"2010_09",28.9
"2010_10",29
"2010_11",20.7
"2010_12",23.3
"2011_01",40.7
"2011_02",34.8
"2011_03",37.2
"2011_04",31.2
"2011_05",31.7
"2011_06",44.7
"2011_07",0
"2011_08",35
"2011_09",36.7
"2011_10",31.7
"2011_11",35.7
"2011_12",32.7
"2012_01",34.7
"2012_02",39.7
"2012_03",23.5
"2012_04",30.3
"2012_05",31.4
"2012_06",48.7
"2012_07",36.7
"2012_08",22.9
"2012_09",28.9
"2012_10",29
"2012_11",27.7
"2012_12",51.9
"2013_01",31.9
"2013_02",32.7
"2013_03",31.5
"2013_04",26.5
"2013_05",26.9
"2013_06",18.9
"2013_07",33.7
"2013_08",31.7
"2013_09",38.7
"2013_10",38.7
"2013_11",43.2
"2013_12",0
"2014_01",34.7
"2014_02",41.7
"2014_03",21.7
"2014_04",27.3
"2014_05",0
"2014_06",43.7
"2014_07",24.7
"2014_08",32
"2014_09",32
"2014_10",1.5
"2014_11",25.3
"2014_12",10.6
"2015_01",32.7
"2015_02",31.9
