"time","intensity"
"2005_01",106.8
"2005_02",186.7
"2005_03",769.1
"2005_04",780.2
"2005_05",328.5
"2005_06",132.9
"2005_07",478.5
"2005_08",189.5
"2005_09",94.1
"2005_10",74.9
"2005_11",284.2
"2005_12",211
"2006_01",189.8
"2006_02",317.2
"2006_03",37.4
"2006_04",110.3
"2006_05",0
"2006_06",69.1
"2006_07",83.9
"2006_08",73.6
"2006_09",328.3
"2006_10",86.2
"2006_11",108
"2006_12",80.5
"2007_01",356.8
"2007_02",442.6
"2007_03",450.4
"2007_04",220.8
"2007_05",220.2
"2007_06",196.8
"2007_07",239.4
"2007_08",298.3
"2007_09",344.2
"2007_10",200.9
"2007_11",188.7
"2007_12",164
"2008_01",362.6
"2008_02",166
"2008_03",117.4
"2008_04",933.2
"2008_05",866
"2008_06",269.5
"2008_07",311.5
"2008_08",300.4
"2008_09",173.2
"2008_10",55.6
"2008_11",487.6
"2008_12",264
"2009_01",216.9
"2009_02",70.9
"2009_03",325.6
"2009_04",449.2
"2009_05",660.9
"2009_06",377.8
"2009_07",990.6
"2009_08",1682.2
"2009_09",1679.4
"2009_10",1809.9
"2009_11",973.8
"2009_12",727.6
"2010_01",1592.4
"2010_02",1228.8
"2010_03",831.1
"2010_04",596.4
"2010_05",771.5
"2010_06",730.8
"2010_07",1678
"2010_08",1102.8
"2010_09",1129
"2010_10",765.5
"2010_11",399.9
"2010_12",459.8
"2011_01",1193.9
"2011_02",3357.4
"2011_03",5172.7
"2011_04",5226.2
"2011_05",5049.8
"2011_06",1973.1
"2011_07",1068.2
"2011_08",991
"2011_09",2704.4
"2011_10",1608.5
"2011_11",1292.6
"2011_12",1318.6
"2012_01",919.2
"2012_02",1290.3
"2012_03",1120
"2012_04",1333.9
"2012_05",974
"2012_06",957.3
"2012_07",535.2
"2012_08",727.5
"2012_09",884.9
"2012_10",1057.3
"2012_11",456.7
"2012_12",925.6
"2013_01",462.1
"2013_02",917
"2013_03",598.7
"2013_04",501.5
"2013_05",463.3
"2013_06",561.1
"2013_07",237.6
"2013_08",519.1
"2013_09",893.2
"2013_10",765.2
"2013_11",776.3
"2013_12",1965.4
"2014_01",1162.5
"2014_02",1476.9
"2014_03",1122.2
"2014_04",1269.3
"2014_05",2389.6
"2014_06",2417.3
"2014_07",1046.1
"2014_08",1505.9
"2014_09",3044.6
"2014_10",1900.5
"2014_11",650.5
"2014_12",1424.6
"2015_01",3977.2
"2015_02",2084.4
